Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
360ONE,23-JAN-2026 EOD,10:11:03,165.21,14.76,-1476217.24,1476232,756302,1112.6,1109.9,1134.1,1100.2,1119.14,0.5694657868570872,6.2999999999999545
ABB,23-JAN-2026 EOD,10:11:03,53.78,1.14,-114253.86,114255,51962,4696.0,4760.0,4775.0,4668.5,4707.08,-1.2511828409210388,-59.5
ABCAPITAL,23-JAN-2026 EOD,10:11:03,137.06,38.93,-3892695.07,3892734,1806429,346.0,354.55,358.0,344.3,352.1,-2.3977433004231314,-8.5
ADANIENSOL,23-JAN-2026 EOD,10:11:03,641.84,76.24,-7623620.76,7623697,1131975,825.8,925.0,925.0,803.1,841.9,-10.705017301038062,-99.0
ADANIENT,23-JAN-2026 EOD,10:11:03,1438.62,74.93,-7492556.07,7492631,1997358,1861.8,2080.5,2082.5,1848.0,1920.05,-10.764953987730069,-224.60000000000014
ADANIGREEN,23-JAN-2026 EOD,10:11:03,1846.86,229.73,-22972993.27,22973223,4222283,779.4,909.0,909.0,765.0,803.92,-13.81178812341037,-124.89999999999998
ADANIPORTS,23-JAN-2026 EOD,10:11:03,849.86,63.8,-6380158.2,6380222,2595240,1314.9,1417.0,1417.0,1292.0,1332.02,-7.021637675010603,-99.29999999999995
ALKEM,23-JAN-2026 EOD,10:11:03,44.66,0.77,-77301.23,77302,32715,5749.0,5785.0,5811.5,5724.0,5777.12,-0.1649735174090475,-9.5
AMBER,23-JAN-2026 EOD,10:11:03,167.17,2.97,-297123.03,297126,140363,5551.0,5742.0,5779.5,5544.0,5626.31,-3.157711095603629,-181.0
AMBUJACEM,23-JAN-2026 EOD,10:11:04,339.01,64.89,-6489316.11,6489381,3665122,519.4,546.65,548.5,511.1,522.41,-4.976216611781933,-27.200000000000045
ANGELONE,23-JAN-2026 EOD,10:11:05,133.58,5.22,-522150.78,522156,142054,2509.9,2566.6,2604.9,2501.2,2558.21,-2.2091482895659555,-56.69999999999982
APLAPOLLO,23-JAN-2026 EOD,10:11:05,444.8,21.87,-2186938.13,2186960,694994,1997.8,2000.0,2070.6,1991.6,2033.88,1.1032388663967587,21.799999999999955
APOLLOHOSP,23-JAN-2026 EOD,10:11:05,311.13,4.58,-458094.42,458099,278047,6813.0,6810.0,6836.0,6696.5,6791.68,0.2353979696925114,16.0
ASHOKLEY,23-JAN-2026 EOD,10:11:05,635.1,324.68,-32467238.32,32467563,9728692,193.07,192.0,199.21,190.0,195.61,1.466260248055493,2.789999999999992
ASIANPAINT,23-JAN-2026 EOD,10:11:05,490.11,17.87,-1786617.13,1786635,878401,2704.4,2703.8,2782.9,2690.8,2743.22,0.02219099045787074,0.599999999999909
ASTRAL,23-JAN-2026 EOD,10:11:05,58.4,4.18,-418231.82,418236,182574,1399.5,1413.0,1425.3,1378.0,1396.25,-0.9694310784036262,-13.700000000000045
AUBANK,23-JAN-2026 EOD,10:11:05,269.59,27.53,-2752833.47,2752861,1731756,967.0,1005.0,1006.9,961.3,979.3,-3.3531557643296144,-33.549999999999955
AUROPHARMA,23-JAN-2026 EOD,10:11:05,58.15,5.12,-511861.88,511867,206195,1128.5,1145.3,1150.5,1120.8,1136.11,-1.4668645769667297,-16.799999999999955
AXISBANK,23-JAN-2026 EOD,10:11:06,1128.62,88.86,-8885460.14,8885549,6404847,1253.9,1297.0,1299.0,1248.0,1270.18,-3.1587890021624854,-40.899999999999864
BAJAJ-AUTO,23-JAN-2026 EOD,10:11:06,192.83,2.04,-204209.96,204212,82664,9422.0,9390.0,9548.0,9335.0,9442.79,0.5549626467449306,52.0
