Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
360ONE,20-MAR-2026 10:00:00,10:11:05,5.85,0.56,-51770.44,51771,29474,1042.3,1034.6,1055.0,1034.6,1048.93,0.1729937530033594,1.7999999999999545
ABB,20-MAR-2026 10:00:00,10:11:05,40.21,0.63,-50274.37,50275,23517,6343.5,6250.0,6380.0,6250.0,6349.56,2.08400386224654,129.5
ABCAPITAL,19-MAR-2026 EOD,10:11:05,18.68,5.91,-2253218.09,2253224,562460,314.15,317.0,317.9,313.8,315.84,0.5923791226384777,1.849999999999966
ADANIENSOL,20-MAR-2026 10:00:00,10:11:05,46.79,4.53,-401599.47,401604,220378,1030.0,1022.9,1043.0,1017.1,1033.99,2.4569780165124886,24.700000000000045
ADANIENT,20-MAR-2026 10:00:00,10:11:05,53.37,2.72,-240295.28,240298,117664,1960.0,1951.0,1974.4,1947.0,1960.4,1.1978521272201594,23.200000000000045
ADANIGREEN,20-MAR-2026 10:00:00,10:11:05,59.4,6.75,-607959.25,607966,304937,883.1,865.45,887.0,864.75,880.63,3.2986314188794066,28.200000000000045
ADANIPORTS,20-MAR-2026 10:00:00,10:11:05,75.49,5.49,-513870.51,513876,325541,1378.7,1364.9,1381.6,1362.4,1373.8,1.6740412979351065,22.700000000000045
ALKEM,20-MAR-2026 10:00:00,10:11:05,5.73,0.11,-10049.89,10050,5124,5227.0,5245.0,5298.5,5222.5,5255.83,-0.2480916030534351,-13.0
AMBER,20-MAR-2026 10:00:00,10:11:05,26.9,0.4,-36038.6,36039,12838,6785.5,6750.0,6844.0,6727.0,6796.52,1.6249812790175229,108.5
AMBUJACEM,19-MAR-2026 EOD,10:11:06,19.07,4.49,-2679762.51,2679767,1318232,425.0,425.0,426.55,421.65,424.24,1.2025241100130994,5.050000000000011
ANGELONE,20-MAR-2026 10:00:00,10:11:07,35.33,15.02,-1400327.98,1400343,513737,234.44,235.9,237.8,233.36,235.16,0.8691162550555074,2.0200000000000102
