Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
3MINDIA,04-MAR-2026 15:00:00,15:11:37,13.39,0.04,-2427.96,2428,1201,34205.0,35525.0,35525.0,34205.0,34662.99,-4.120532585844429,-1470.0
AADHARHFC,04-MAR-2026 15:00:00,15:11:37,31.6,7.14,-696510.86,696518,370643,453.7,440.05,455.45,435.2,442.68,0.24304021210781393,1.099999999999966
AARTIDRUGS,04-MAR-2026 15:00:00,15:11:37,5.59,1.56,-149976.44,149978,90772,360.5,351.1,362.85,349.55,357.86,0.8956059333893054,3.1999999999999886
AARTIIND,04-MAR-2026 15:00:00,15:11:37,35.94,8.61,-833061.39,833070,418685,414.55,422.95,427.7,413.0,417.44,-4.249913384917422,-18.399999999999977
AARTIPHARM,04-MAR-2026 15:00:00,15:11:37,14.75,2.16,-197781.84,197784,104547,677.5,700.0,700.0,676.0,682.17,-4.0028338646829615,-28.25
AAVAS,04-MAR-2026 15:00:00,15:11:37,21.88,1.78,-165520.22,165522,90302,1229.7,1220.0,1250.0,1204.9,1228.55,-0.8386420449963603,-10.399999999999864
ABBOTINDIA,04-MAR-2026 15:00:00,15:11:37,62.08,0.23,-21609.77,21610,11460,27760.0,26805.0,27870.0,26505.0,27239.64,3.562768140272337,955.0
ABDL,04-MAR-2026 15:00:00,15:11:37,16.48,3.62,-337792.38,337796,215033,448.65,458.75,467.4,447.3,455.25,-4.74522292993631,-22.350000000000023
ABFRL,04-MAR-2026 15:00:00,15:11:37,15.85,24.74,-2411777.26,2411802,1297256,64.1,64.6,65.62,63.05,64.05,-2.790415529269038,-1.8400000000000034
ABLBL,04-MAR-2026 15:00:00,15:11:39,64.65,64.78,-6446946.22,6447011,6140927,99.99,98.4,100.49,97.36,99.81,-0.8134113679198566,-0.8200000000000074
ABREL,04-MAR-2026 15:00:00,15:11:38,11.61,0.95,-89620.05,89621,42315,1227.0,1255.5,1255.5,1208.4,1227.68,-2.301138625686766,-28.90000000000009
ABSLAMC,04-MAR-2026 15:00:00,15:11:38,21.99,2.56,-234264.44,234267,127261,866.3,870.0,875.6,845.0,860.62,-1.1524418073938867,-10.100000000000023
ACC,04-MAR-2026 15:00:00,15:11:38,35.34,2.32,-213046.68,213049,98285,1532.1,1542.0,1545.5,1510.4,1523.17,-1.358485706927642,-21.100000000000136
ACE,04-MAR-2026 15:00:00,15:11:38,18.57,2.17,-203092.83,203095,111543,851.1,854.0,867.6,850.05,856.86,-1.8339100346020734,-15.899999999999977
ACI,04-MAR-2026 15:00:00,15:11:38,6.74,1.27,-117982.73,117984,44889,533.35,535.0,537.0,525.85,531.46,-3.2208310651424426,-17.75
ACMESOLAR,04-MAR-2026 15:00:00,15:11:38,8.22,3.66,-356408.34,356412,171945,225.02,227.0,229.04,221.04,224.48,-3.125538143619765,-7.259999999999991
ACUTAAS,04-MAR-2026 15:00:00,15:11:38,91.94,4.34,-390599.66,390604,196447,2098.1,2173.0,2206.0,2081.0,2117.7,-4.279392308043258,-93.80000000000018
ADANIPOWER,04-MAR-2026 15:00:00,15:11:38,206.57,150.94,-13937632.06,13937783,6855513,137.7,135.0,139.3,134.41,136.84,-0.19569471624266885,-0.27000000000001023
ADVENZYMES,04-MAR-2026 15:00:00,15:11:39,6.14,2.17,-209049.83,209052,114549,284.85,290.0,290.7,276.1,282.46,-3.571428571428556,-10.549999999999955
AEGISLOG,04-MAR-2026 15:00:00,15:11:40,13.73,2.1,-190790.9,190793,98268,647.6,665.0,670.5,645.25,655.13,-4.462639226967617,-30.25
AEGISVOPAK,04-MAR-2026 15:00:00,15:11:40,18.96,9.34,-856808.66,856818,355538,198.29,215.0,216.15,198.05,203.04,-8.423774996536281,-18.24000000000001
AETHER,04-MAR-2026 15:00:00,15:11:40,24.61,2.72,-262302.28,262305,129286,916.75,905.0,922.75,891.6,905.93,-1.6520946199645954,-15.399999999999977
AFCONS,04-MAR-2026 15:00:00,15:11:40,12.88,4.65,-429133.35,429138,214888,279.6,278.1,281.4,273.1,276.98,-1.6531832571227538,-4.699999999999989
AFFLE,04-MAR-2026 15:00:00,15:11:40,45.36,3.29,-305156.71,305160,125674,1402.7,1331.0,1417.7,1327.9,1379.64,3.306819855648851,44.90000000000009
AGARWALEYE,04-MAR-2026 15:00:00,15:11:40,5.36,1.23,-109324.77,109326,86956,435.15,435.15,444.95,433.05,437.1,-2.911646586345384,-13.050000000000011
AGI,04-MAR-2026 15:00:00,15:11:40,13.93,2.66,-257790.34,257793,198342,522.1,522.0,532.45,517.4,524.16,-1.5926868344171015,-8.449999999999932
AHLUCONT,04-MAR-2026 15:00:00,15:11:41,9.0,1.24,-122579.76,122581,76746,730.5,732.6,747.0,718.95,726.92,-2.9300378712377855,-22.049999999999955
AIAENG,04-MAR-2026 15:00:00,15:11:41,11.16,0.31,-19244.69,19245,9333,3623.2,3700.0,3707.8,3605.0,3648.72,-3.0944930327101625,-115.70000000000027
AIIL,04-MAR-2026 15:00:00,15:11:41,15.44,3.57,-326226.43,326230,139523,428.6,450.0,452.0,426.0,432.08,-5.667436997909101,-25.75
AJANTPHARM,04-MAR-2026 15:00:00,15:11:41,21.01,0.72,-63676.28,63677,36565,2916.6,2950.1,2950.1,2875.0,2911.42,-1.7251836377114451,-51.20000000000027
AJAXENGG,04-MAR-2026 15:00:00,15:11:41,3.08,0.64,-63455.36,63456,35746,482.2,469.0,486.5,468.0,477.96,0.689079139695137,3.3000000000000114
AKUMS,04-MAR-2026 15:00:00,15:11:41,5.75,1.24,-122413.76,122415,72094,468.95,466.65,470.0,460.1,465.05,-1.1592370112762147,-5.5
AKZOINDIA,04-MAR-2026 15:00:00,15:11:41,5.3,0.18,-13059.82,13060,5476,2895.6,2872.9,2930.1,2829.8,2864.95,0.09333195063776203,2.699999999999818
ALIVUS,04-MAR-2026 15:00:00,15:11:41,5.01,0.56,-53336.44,53337,28461,911.1,885.3,918.9,885.2,901.65,-0.35544375786077537,-3.25
ALKYLAMINE,04-MAR-2026 15:00:00,15:11:42,3.5,0.25,-23514.75,23515,13916,1408.9,1415.0,1425.5,1400.0,1409.78,-2.010015301154532,-28.899999999999864
ALLCARGO,04-MAR-2026 15:00:00,15:11:42,3.18,40.15,-3876675.85,3876716,2101212,8.03,7.85,8.05,7.76,7.91,-0.24844720496896086,-0.02000000000000135
ALOKINDS,04-MAR-2026 15:00:00,15:11:43,5.83,43.65,-4123180.35,4123224,2372978,13.37,13.65,13.65,13.25,13.35,-3.186097031136866,-0.4400000000000013
ANANDRATHI,04-MAR-2026 15:00:00,15:11:42,50.79,1.62,-150295.38,150297,82917,3128.7,3115.0,3168.8,3095.0,3127.01,-0.6288708909004346,-19.800000000000182
ANANTRAJ,04-MAR-2026 15:00:00,15:11:43,111.64,22.68,-2085364.32,2085387,879678,490.2,500.0,502.0,487.4,492.32,-3.7124337065409607,-18.900000000000034
ANUP,04-MAR-2026 15:00:00,15:11:43,7.39,0.49,-42867.51,42868,23369,1492.8,1530.0,1549.9,1480.0,1509.64,-4.172551033508794,-65.0
ANURAS,04-MAR-2026 15:00:00,15:11:43,41.81,3.49,-297866.51,297870,159183,1247.7,1200.0,1255.0,1162.3,1197.41,2.463661000246366,30.0
APARINDS,04-MAR-2026 15:00:00,15:11:43,161.68,1.59,-154105.41,154107,57493,10005.0,10501.0,10526.0,9976.0,10144.18,-6.442865158032542,-689.0
APLLTD,04-MAR-2026 15:00:00,15:11:43,3.54,0.51,-47363.49,47364,22958,698.05,700.0,705.0,690.0,695.99,-1.0209145693016726,-7.2000000000000455
APOLLOTYRE,04-MAR-2026 15:00:00,15:11:43,34.3,7.94,-740075.06,740083,412277,431.1,431.3,435.0,426.55,431.76,-2.1117166212533958,-9.299999999999955
APTUS,04-MAR-2026 15:00:00,15:11:44,43.52,19.01,-1863829.99,1863849,1058965,228.25,235.0,235.13,225.03,228.97,-4.213353476855929,-10.039999999999992
ARE&M,04-MAR-2026 15:00:00,15:11:46,27.49,3.42,-333263.58,333267,182870,801.1,806.15,812.45,800.1,803.57,-2.8321911577415273,-23.350000000000023
ARVIND,04-MAR-2026 15:00:00,15:11:44,15.32,4.55,-448451.45,448456,246889,340.6,338.1,343.9,331.3,336.54,-1.089008276462901,-3.75
ARVINDFASN,04-MAR-2026 15:00:00,15:11:44,8.39,1.96,-180932.04,180934,106124,430.25,430.0,436.15,421.7,428.61,-2.227019656857178,-9.800000000000011
ASAHIINDIA,04-MAR-2026 15:00:00,15:11:44,12.14,1.44,-134510.56,134512,68367,862.7,840.0,868.7,815.0,840.91,1.3927249221366895,11.850000000000023
ASHOKA,04-MAR-2026 15:00:00,15:11:46,18.96,15.2,-1490793.8,1490809,759572,124.35,127.51,127.51,123.0,124.7,-3.357425973420373,-4.319999999999993
ASKAUTOLTD,04-MAR-2026 15:00:00,15:11:45,4.89,1.26,-117558.74,117560,67317,386.9,392.1,392.1,383.65,387.3,-3.299175206198462,-13.200000000000045
ASTERDM,04-MAR-2026 15:00:00,15:11:46,42.14,6.54,-603593.46,603600,251156,650.4,631.95,655.6,626.7,644.49,0.8997828110456025,5.7999999999999545
ASTRAMICRO,04-MAR-2026 15:00:00,15:11:45,50.59,5.11,-488629.89,488635,236901,996.95,992.15,1000.0,976.0,989.44,1.4810667752443065,14.550000000000068
ASTRAZEN,04-MAR-2026 15:00:00,15:11:45,5.96,0.07,-6124.93,6125,3514,8700.0,8779.5,8779.5,8572.0,8666.48,-1.147596863992728,-101.0
ATGL,04-MAR-2026 15:00:00,15:11:46,22.86,4.76,-460076.24,460081,210381,481.85,487.9,487.9,477.0,480.75,-2.2319164045855735,-11.0
ATHERENERG,04-MAR-2026 15:00:00,15:11:46,97.26,14.16,-1200402.84,1200417,416214,702.05,699.05,702.4,673.8,686.74,-0.41843971631206317,-2.9500000000000455
ATUL,04-MAR-2026 15:00:00,15:11:46,8.76,0.14,-13344.86,13345,6917,6370.0,6460.0,6475.0,6258.0,6354.83,-2.465166130760986,-161.0
AURIONPRO,04-MAR-2026 15:00:00,15:11:47,19.73,2.3,-222776.7,222779,120675,862.05,856.0,867.0,842.6,856.95,0.4427614331488441,3.7999999999999545
