Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
360ONE,03-FEB-2026 15:00:00,15:11:04,131.15,11.28,-1090129.72,1090141,523709,1165.3,1150.0,1188.5,1150.0,1162.6,4.934714092751009,54.799999999999955
ABB,03-FEB-2026 15:00:00,15:11:03,355.47,6.24,-611757.76,611764,369271,5668.5,5641.5,5769.0,5608.0,5699.8,3.666788588149232,200.5
ABCAPITAL,03-FEB-2026 15:00:00,15:11:03,249.49,71.91,-6906098.09,6906170,3886021,345.65,348.0,360.85,341.1,346.97,3.7832157333733565,12.599999999999966
ADANIENSOL,03-FEB-2026 15:00:00,15:11:04,471.3,48.96,-4796287.04,4796336,1250145,973.05,951.0,982.7,937.2,962.7,9.998869545557305,88.44999999999993
ADANIENT,03-FEB-2026 15:00:00,15:11:04,1446.59,65.7,-6363718.3,6363784,1268206,2196.1,2150.0,2233.4,2131.1,2201.77,10.058133707527302,200.69999999999982
ADANIGREEN,03-FEB-2026 15:00:00,15:11:04,952.7,102.53,-10059614.47,10059717,2158181,930.0,924.0,951.55,900.0,929.23,10.196101664790563,86.04999999999995
ADANIPORTS,03-FEB-2026 15:00:00,15:11:04,1725.45,114.06,-10919214.94,10919329,4587681,1530.2,1477.2,1537.0,1477.2,1512.78,9.058513291996304,127.10000000000014
ALKEM,03-FEB-2026 15:00:00,15:11:04,90.86,1.59,-152164.41,152166,91432,5714.0,5714.0,5747.0,5628.0,5697.78,3.4863714570316033,192.5
AMBER,03-FEB-2026 15:00:00,15:11:04,413.58,6.6,-645083.4,645090,341089,6197.0,6300.0,6560.0,6154.5,6262.57,3.300550091681947,198.0
AMBUJACEM,03-FEB-2026 15:00:00,15:11:05,153.17,29.0,-2805103.0,2805132,1212763,527.55,533.0,540.5,519.5,528.25,3.3398628795298637,17.049999999999955
ANGELONE,03-FEB-2026 15:00:00,15:11:05,702.29,27.05,-2677343.95,2677371,969959,2583.9,2500.0,2663.9,2500.0,2596.23,7.604214383875396,182.5999999999999
APLAPOLLO,03-FEB-2026 15:00:00,15:11:05,236.97,11.14,-1030791.86,1030803,717161,2136.7,2195.9,2195.9,2107.6,2126.81,2.7605444139854582,57.399999999999636
APOLLOHOSP,03-FEB-2026 15:00:00,15:11:05,274.22,3.87,-356024.13,356028,174544,7094.5,7070.0,7163.5,7002.5,7091.53,2.3220595658758203,161.0
ASHOKLEY,03-FEB-2026 15:00:00,15:11:05,300.11,150.95,-14420658.05,14420809,7453107,199.94,203.0,203.0,196.02,198.81,2.8497942386831236,5.539999999999992
ASIANPAINT,03-FEB-2026 15:00:00,15:11:05,494.76,20.38,-1952197.62,1952218,1100886,2425.5,2525.0,2525.0,2391.0,2427.93,0.9783513738551207,23.5
ASTRAL,03-FEB-2026 15:00:00,15:11:05,62.7,4.18,-395565.82,395570,179827,1502.1,1492.0,1510.0,1483.8,1498.62,2.350776778413737,34.5
AUBANK,03-FEB-2026 15:00:00,15:11:05,174.46,17.67,-1605276.33,1605294,697839,982.0,985.0,1019.0,979.8,987.58,1.7405719021964312,16.799999999999955
AUROPHARMA,03-FEB-2026 15:00:00,15:11:05,267.09,21.67,-1897727.33,1897749,869456,1228.9,1230.0,1247.3,1211.2,1232.71,4.9444918872758405,57.90000000000009
AXISBANK,03-FEB-2026 15:00:00,15:11:06,1255.12,92.38,-8520563.62,8520656,4827608,1354.3,1403.0,1418.3,1345.5,1358.63,3.263438810522299,42.799999999999955
BAJAJ-AUTO,03-FEB-2026 15:00:00,15:11:06,523.14,5.42,-530438.58,530444,290849,9597.5,9933.0,9941.0,9515.0,9660.45,1.0635497288474702,101.0
BAJAJFINSV,03-FEB-2026 15:00:00,15:11:06,238.53,11.83,-1124541.17,1124553,582365,2011.7,2019.7,2045.5,1986.3,2016.01,4.2277602196777435,81.60000000000014
BAJAJHLDNG,03-FEB-2026 15:00:00,15:11:06,79.41,0.73,-66393.27,66394,39335,10900.0,10800.0,11035.0,10800.0,10922.5,2.241815964731263,239.0
BAJFINANCE,03-FEB-2026 15:00:00,15:11:06,1331.72,138.97,-13207670.03,13207809,8151747,963.05,960.0,972.8,941.9,958.29,6.5674449485448605,59.34999999999991
BANDHANBNK,03-FEB-2026 15:00:00,15:11:06,156.57,101.8,-9546905.2,9547007,5283419,155.03,153.0,155.5,151.21,153.79,4.3551427032848675,6.469999999999999
