Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
3MINDIA,23-JAN-2026 15:00:00,15:11:34,3.87,0.01,-1096.99,1097,699,33400.0,33900.0,34100.0,33315.0,33592.63,-1.4749262536873156,-500.0
AADHARHFC,23-JAN-2026 15:00:00,15:11:34,11.43,2.44,-235175.56,235178,193340,468.2,472.0,472.0,466.1,468.38,-0.393575151579624,-1.8500000000000227
AARTIDRUGS,23-JAN-2026 15:00:00,15:11:34,3.43,0.93,-85155.07,85156,55471,370.65,375.75,378.5,366.2,370.59,-1.3441575725312782,-5.050000000000011
AARTIIND,-,15:11:34,30.26,8.54,8.54,0,0,352.75,347.8,357.75,345.3,354.46,1.8184442199451614,6.300000000000011
AARTIPHARM,-,15:11:34,9.15,1.19,1.19,0,0,766.05,761.6,778.75,755.35,766.77,0.7761625994869404,5.899999999999977
AAVAS,23-JAN-2026 15:00:00,15:11:34,31.5,2.11,-190161.89,190164,111467,1480.5,1463.0,1512.8,1453.5,1491.45,1.2100082034454502,17.700000000000045
ABBOTINDIA,-,15:11:34,8.79,0.03,0.03,0,0,27700.0,27850.0,28100.0,27555.0,27801.74,-0.09017132551848511,-25.0
ABDL,23-JAN-2026 15:00:00,15:11:34,32.17,7.17,-645940.83,645948,368319,449.5,445.5,462.3,436.9,448.63,0.8978675645342313,4.0
ABFRL,23-JAN-2026 15:00:00,15:11:34,41.1,65.88,-5999704.12,5999770,2899419,61.82,64.0,64.18,61.61,62.38,-2.936096718480134,-1.8699999999999974
ABLBL,-,15:11:35,19.74,18.75,18.75,0,0,104.15,106.6,106.95,103.9,105.28,-2.206572769953046,-2.3499999999999943
ABREL,-,15:11:35,27.12,2.07,2.07,0,0,1291.6,1362.7,1362.7,1288.0,1308.52,-4.041604754829129,-54.40000000000009
ABSLAMC,23-JAN-2026 15:00:00,15:11:36,98.87,12.3,-1191855.7,1191868,188665,779.3,802.0,827.5,777.0,803.67,0.6522441072005108,5.0499999999999545
ACC,23-JAN-2026 15:00:00,15:11:36,46.05,2.72,-252898.28,252901,135591,1666.1,1728.2,1729.0,1663.9,1695.46,-3.5933341048489837,-62.100000000000136
ACE,23-JAN-2026 15:00:00,15:11:36,13.52,1.69,-160461.31,160463,93905,791.25,812.0,814.75,789.0,800.44,-1.9455976206704313,-15.700000000000045
ACI,23-JAN-2026 15:00:00,15:11:36,4.57,0.83,-56661.17,56662,30200,553.0,552.95,559.0,536.85,548.2,0.8479985410777746,4.649999999999977
ACMESOLAR,-,15:11:37,6.2,3.04,3.04,0,0,199.21,207.7,208.86,198.63,203.95,-3.6469165659008427,-7.539999999999992
ACUTAAS,23-JAN-2026 15:00:00,15:11:36,30.82,1.87,-166011.13,166013,91153,1655.1,1664.8,1674.0,1636.6,1652.45,0.6506932619800424,10.699999999999818
ADANIPOWER,23-JAN-2026 15:00:00,15:11:36,646.5,481.24,-45007801.76,45008283,14291514,133.14,141.0,142.9,128.1,134.34,-5.520862900936703,-7.780000000000001
ADVENZYMES,-,15:11:37,2.01,0.74,0.74,0,0,270.9,272.2,275.1,268.25,271.71,-0.3861003861003903,-1.0500000000000114
AEGISLOG,23-JAN-2026 15:00:00,15:11:37,29.94,4.61,-447642.39,447647,309681,651.65,660.0,660.05,644.15,649.82,-1.0252126366950183,-6.75
AEGISVOPAK,23-JAN-2026 15:00:00,15:11:37,5.47,2.68,-258778.32,258781,176080,201.84,207.0,207.04,201.5,204.49,-1.7379874397546335,-3.569999999999993
AETHER,-,15:11:40,12.67,1.31,1.31,0,0,970.5,980.0,980.0,949.4,964.99,-0.9036605912084569,-8.850000000000023
AFCONS,-,15:11:37,8.92,2.63,2.63,0,0,337.6,345.6,349.4,332.95,339.56,-2.328945465065805,-8.049999999999955
AFFLE,23-JAN-2026 15:00:00,15:11:37,17.58,1.11,-103082.89,103084,63943,1580.6,1610.0,1612.6,1573.0,1588.25,-1.7894867652541433,-28.800000000000182
AGARWALEYE,23-JAN-2026 15:00:00,15:11:37,5.86,1.29,-102615.71,102617,49372,459.6,468.55,469.95,444.75,454.28,-1.9101483299541113,-8.949999999999989
AGI,23-JAN-2026 15:00:00,15:11:39,4.78,0.71,-67816.29,67817,38833,661.9,660.05,684.7,654.05,669.4,0.08316322673319038,0.5499999999999545
AHLUCONT,23-JAN-2026 15:00:00,15:11:38,4.16,0.49,-45685.51,45686,31459,835.95,875.0,891.0,835.0,850.71,-4.424626993654597,-38.69999999999993
AIAENG,-,15:11:38,18.47,0.5,0.5,0,0,3732.9,3769.5,3785.3,3706.5,3730.42,-0.6731946144430772,-25.299999999999727
AIIL,23-JAN-2026 15:00:00,15:11:38,26.82,5.0,-436043.0,436048,230069,523.3,557.0,559.0,516.5,536.47,-5.71171171171172,-31.700000000000045
AJANTPHARM,-,15:11:38,13.97,0.52,0.52,0,0,2697.8,2715.0,2717.4,2672.1,2694.78,-0.7285840447453535,-19.799999999999727
AJAXENGG,23-JAN-2026 15:00:00,15:11:39,15.02,3.1,-304621.9,304625,173772,487.35,509.0,509.9,473.25,483.67,-3.790346461356231,-19.19999999999999
AKUMS,-,15:11:38,2.57,0.61,0.61,0,0,424.3,420.75,427.95,417.95,423.7,0.9036860879904901,3.8000000000000114
AKZOINDIA,23-JAN-2026 15:00:00,15:11:38,3.86,0.13,-11267.87,11268,5957,2950.0,2923.0,2956.6,2910.0,2942.44,0.5247733933074386,15.400000000000091
ALIVUS,23-JAN-2026 15:00:00,15:11:39,17.24,1.93,-184255.07,184257,70096,888.0,887.0,909.4,861.5,894.2,3.0760301799187464,26.5
ALKYLAMINE,-,15:11:39,3.85,0.24,0.24,0,0,1568.0,1585.4,1597.9,1555.6,1576.7,-1.865064463637499,-29.799999999999955
ALLCARGO,23-JAN-2026 15:00:00,15:11:40,4.31,47.06,-4038562.94,4038610,2694583,9.13,9.31,9.42,9.0,9.15,-1.9334049409237348,-0.17999999999999972
ALOKINDS,-,15:11:40,6.96,48.0,48.0,0,0,14.42,14.95,14.95,14.3,14.49,-2.3696682464454955,-0.34999999999999964
ANANDRATHI,-,15:11:40,130.27,4.38,4.38,0,0,2950.0,3039.0,3039.0,2936.9,2975.66,-1.9379716118738215,-58.30000000000018
ANANTRAJ,23-JAN-2026 15:00:00,15:11:40,130.72,25.56,-2441946.44,2441972,1065045,502.45,536.75,536.8,497.8,511.42,-6.555700204575052,-35.25000000000006
ANUP,23-JAN-2026 15:00:00,15:11:40,7.06,0.38,-36144.62,36145,24792,1825.4,1870.0,1894.9,1820.5,1879.04,-2.660907588119227,-49.899999999999864
ANURAS,-,15:11:41,18.26,1.49,1.49,0,0,1215.7,1239.5,1239.5,1204.3,1222.26,-1.920129084308185,-23.799999999999955
APARINDS,-,15:11:41,28.86,0.41,0.41,0,0,7025.5,7230.0,7238.0,7009.0,7093.76,-2.6197241666089126,-189.0
APLLTD,-,15:11:41,1.35,0.18,0.18,0,0,765.15,768.8,768.8,762.75,765.43,-0.5523784767351183,-4.25
APOLLOTYRE,23-JAN-2026 15:00:00,15:11:41,27.14,5.39,-490009.61,490015,231172,499.2,503.0,510.25,499.0,503.58,-0.9228937183685688,-4.650000000000034
APTUS,-,15:11:41,8.5,3.22,3.22,0,0,259.95,265.2,268.05,259.7,263.82,-1.961154063737503,-5.199999999999989
ARE&M,-,15:11:41,17.25,2.04,2.04,0,0,832.7,856.7,859.35,830.7,845.45,-2.568302814017426,-21.949999999999932
ARVIND,-,15:11:41,16.29,5.49,5.49,0,0,297.25,305.15,306.0,295.05,296.61,-1.7030423280423206,-5.149999999999977
ARVINDFASN,23-JAN-2026 15:00:00,15:11:41,17.26,3.86,-370308.14,370312,216444,438.3,451.0,463.65,435.5,447.32,-2.480809878740678,-11.149999999999977
ASAHIINDIA,-,15:11:42,3.77,0.4,0.4,0,0,950.0,961.3,964.3,946.3,954.03,-1.1754915218974258,-11.299999999999955
ASHOKA,-,15:11:42,21.73,14.76,14.76,0,0,146.5,150.0,151.0,145.4,147.17,1.3560260135602658,1.960000000000008
ASKAUTOLTD,23-JAN-2026 15:00:00,15:11:42,3.02,0.7,-67432.3,67433,44081,426.5,440.0,440.0,423.5,430.59,-2.077832625416143,-9.050000000000011
ASTERDM,23-JAN-2026 15:00:00,15:11:42,15.89,2.83,-249124.17,249127,124623,556.3,576.0,581.7,554.45,562.03,-3.4704147145583897,-20.0
ASTRAMICRO,23-JAN-2026 15:00:00,15:11:42,10.33,1.13,-101332.87,101334,49312,911.85,917.45,924.25,897.3,910.73,-0.615803814713894,-5.649999999999977
ASTRAZEN,-,15:11:42,3.4,0.04,0.04,0,0,8325.0,8336.0,8360.0,8254.0,8318.54,-0.2635677488918174,-22.0
ATGL,23-JAN-2026 15:00:00,15:11:42,102.89,19.77,-1886093.23,1886113,417551,517.55,550.65,550.65,507.05,520.38,-5.556569343065702,-30.450000000000045
ATHERENERG,23-JAN-2026 15:00:00,15:11:42,51.86,8.36,-731254.64,731263,311844,622.5,634.6,634.6,614.0,620.4,-1.4485870339586762,-9.149999999999977
ATUL,-,15:11:43,17.38,0.3,0.3,0,0,5830.5,5781.5,5948.0,5735.0,5843.91,1.0047639670853183,58.0
