Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
3MINDIA,18-FEB-2026 15:00:00,15:11:36,11.4,0.03,-2294.97,2295,1508,36875.0,36050.0,36945.0,35875.0,36319.11,2.3452678323619205,845.0
AADHARHFC,18-FEB-2026 15:00:00,15:11:36,8.47,1.83,-171082.17,171084,79629,471.45,461.95,472.8,452.6,463.87,2.355623100303944,10.849999999999966
AARTIDRUGS,18-FEB-2026 15:00:00,15:11:36,2.52,0.67,-65001.33,65002,42250,375.0,374.9,376.4,371.75,374.62,0.12014417300760609,0.44999999999998863
AARTIIND,18-FEB-2026 15:00:00,15:11:36,28.82,6.23,-610455.77,610462,237435,460.6,454.95,468.8,453.6,462.28,1.2418947137048104,5.650000000000034
AARTIPHARM,18-FEB-2026 15:00:00,15:11:37,6.33,0.88,-85245.12,85246,42292,721.8,731.8,731.8,714.9,720.64,-0.25564844883576626,-1.8500000000000227
AAVAS,18-FEB-2026 15:00:00,15:11:36,7.0,0.54,-51694.46,51695,28717,1306.5,1308.0,1322.9,1299.0,1307.15,0.29940119760479744,3.900000000000091
ABBOTINDIA,18-FEB-2026 15:00:00,15:11:36,19.0,0.07,-6952.93,6953,5423,26485.0,26740.0,26850.0,26435.0,26614.28,-0.5071374906085651,-135.0
ABDL,18-FEB-2026 15:00:00,15:11:36,13.85,2.64,-257430.36,257433,134516,520.4,529.0,529.6,518.0,524.14,-0.8667492142108901,-4.550000000000068
ABFRL,18-FEB-2026 15:00:00,15:11:36,8.17,11.36,-1034470.64,1034482,441397,71.97,72.44,72.63,71.44,71.91,-0.138753989177181,-0.09999999999999432
ABLBL,18-FEB-2026 15:00:00,15:11:37,5.91,5.4,-514171.6,514177,299240,109.15,111.5,111.5,107.97,109.44,-1.2127794370531173,-1.3399999999999892
ABREL,18-FEB-2026 15:00:00,15:11:37,8.13,0.59,-51169.41,51170,27834,1373.6,1389.8,1400.4,1368.2,1378.67,-0.9732535505731382,-13.5
ABSLAMC,18-FEB-2026 15:00:00,15:11:37,61.01,6.75,-650987.25,650994,321675,909.5,882.9,914.8,882.4,903.35,3.0186328368352466,26.649999999999977
ACC,18-FEB-2026 15:00:00,15:11:37,9.76,0.6,-56115.4,56116,32298,1641.9,1639.4,1648.8,1630.1,1639.39,0.152494815176284,2.5
ACE,18-FEB-2026 15:00:00,15:11:37,9.54,1.06,-101374.94,101376,57875,899.25,918.95,919.3,894.0,902.12,-2.1863272964594573,-20.100000000000023
ACI,18-FEB-2026 15:00:00,15:11:37,2.85,0.5,-43999.5,44000,20930,568.6,566.1,573.0,565.0,569.32,-0.21935597086952707,-1.25
ACMESOLAR,18-FEB-2026 15:00:00,15:11:38,4.06,1.75,-165454.25,165456,92151,231.05,235.0,236.7,230.1,232.23,-1.6096750841033944,-3.780000000000001
