Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
3MINDIA,20-FEB-2026 13:00:00,13:11:35,3.82,0.01,-1037.99,1038,558,36395.0,36810.0,36870.0,36275.0,36492.01,-1.355197181189863,-500.0
AADHARHFC,20-FEB-2026 13:00:00,13:11:36,10.92,2.28,-227040.72,227043,133526,480.15,479.0,482.2,472.3,478.3,0.8718487394957934,4.149999999999977
AARTIDRUGS,20-FEB-2026 13:00:00,13:11:36,2.27,0.61,-60211.39,60212,35619,371.7,370.65,372.25,366.05,369.7,0.2832861189801731,1.0500000000000114
AARTIIND,20-FEB-2026 13:00:00,13:11:35,10.49,2.33,-228641.67,228644,109969,451.35,451.0,454.35,446.75,450.53,-0.6821432500825098,-3.099999999999966
AARTIPHARM,20-FEB-2026 13:00:00,13:11:35,5.54,0.78,-74496.22,74497,38272,704.0,714.55,720.55,703.2,711.8,-1.303799242955272,-9.299999999999955
AAVAS,20-FEB-2026 13:00:00,13:11:35,14.9,1.16,-114291.84,114293,89531,1281.0,1281.0,1290.2,1265.1,1279.74,-0.6206361520558572,-8.0
ABBOTINDIA,20-FEB-2026 13:00:00,13:11:36,15.45,0.06,-5744.94,5745,4656,26380.0,26495.0,26780.0,26380.0,26639.05,-0.056828944875923465,-15.0
ABDL,20-FEB-2026 13:00:00,13:11:36,5.75,1.15,-113734.85,113736,60514,500.2,501.5,506.9,495.95,500.53,-1.1560122517537839,-5.850000000000023
ABFRL,20-FEB-2026 13:00:00,13:11:35,9.96,14.24,-1392497.76,1392512,618015,69.61,70.0,70.47,69.0,69.92,-0.6706621004566194,-0.46999999999999886
ABLBL,20-FEB-2026 13:00:00,13:11:36,3.54,3.31,-316564.69,316568,152970,107.0,107.18,107.69,106.01,107.03,0.21541631544441694,0.23000000000000398
ABREL,20-FEB-2026 13:00:00,13:11:37,5.7,0.43,-41766.57,41767,19698,1315.5,1335.0,1343.7,1315.0,1326.58,-2.1860361365157326,-29.40000000000009
ABSLAMC,20-FEB-2026 13:00:00,13:11:37,44.58,4.88,-472301.12,472306,229095,914.75,890.1,920.0,887.55,912.62,2.0755453886068205,18.600000000000023
ACC,20-FEB-2026 13:00:00,13:11:37,8.78,0.54,-53126.46,53127,25632,1617.5,1610.0,1625.8,1602.0,1614.89,-0.006181998021755011,-0.09999999999990905
ACE,20-FEB-2026 13:00:00,13:11:37,8.34,0.96,-95468.04,95469,54790,867.65,865.0,873.6,863.5,867.85,-1.0830530696004104,-9.5
ACI,20-FEB-2026 13:00:00,13:11:42,2.01,0.36,-34496.64,34497,19908,561.25,561.4,566.15,558.6,562.67,-0.9442287327920972,-5.350000000000023
ACMESOLAR,20-FEB-2026 13:00:00,13:11:38,4.49,1.97,-189688.03,189690,85156,226.73,228.73,229.6,225.05,227.46,-0.8743933895859748,-2.0
