Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
360ONE,25-MAR-2026 15:00:00,15:11:03,79.03,7.82,-747982.18,747990,447963,1003.2,999.8,1018.8,992.1,1010.25,1.4050338623269072,13.900000000000091
ABB,25-MAR-2026 15:00:00,15:11:03,131.92,2.11,-201824.89,201827,97635,6210.5,6200.0,6290.0,6185.5,6242.94,0.7870821161960402,48.5
ABCAPITAL,25-MAR-2026 15:00:00,15:11:03,167.18,53.29,-5020702.71,5020756,2748037,315.1,307.9,318.4,304.55,313.71,4.199735449735465,12.700000000000045
ADANIENSOL,25-MAR-2026 15:00:00,15:11:03,109.73,11.1,-1014053.9,1014065,450935,992.9,971.9,999.0,970.3,988.09,2.6465419208105057,25.600000000000023
ADANIENT,25-MAR-2026 15:00:00,15:11:03,446.72,23.67,-2282339.33,2282363,805793,1889.6,1847.9,1911.0,1839.2,1887.57,3.9441113372572647,71.69999999999982
ADANIGREEN,25-MAR-2026 15:00:00,15:11:03,174.8,20.32,-1959034.68,1959055,590057,855.85,843.0,868.75,843.0,860.3,1.9415162884878885,16.300000000000068
ADANIPORTS,25-MAR-2026 15:00:00,15:11:03,235.08,17.01,-1615143.99,1615161,741542,1377.8,1359.7,1392.7,1354.8,1381.97,2.499628031542918,33.59999999999991
ALKEM,25-MAR-2026 15:00:00,15:11:03,28.68,0.53,-50578.47,50579,27420,5433.0,5355.0,5464.0,5311.5,5407.87,2.567491032659996,136.0
AMBER,25-MAR-2026 15:00:00,15:11:03,251.87,3.74,-363219.26,363223,110980,6736.5,6551.0,6805.0,6498.5,6728.45,4.409485430874147,284.5
AMBUJACEM,25-MAR-2026 15:00:00,15:11:05,186.01,43.89,-4276368.11,4276412,1713903,422.45,414.0,427.7,414.0,423.79,3.6559931296773347,14.899999999999977
ANGELONE,25-MAR-2026 15:00:00,15:11:05,195.57,81.55,-7662930.45,7663012,2792613,242.06,233.5,243.8,233.1,239.81,5.042527339003647,11.620000000000005
