Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
3MINDIA,01-APR-2026 13:00:00,13:11:38,15.48,0.05,-4300.95,4301,2205,29920.0,30560.0,31305.0,29905.0,30547.15,-0.6640106241699867,-200.0
AADHARHFC,01-APR-2026 13:00:00,13:11:38,9.74,2.15,-213773.85,213776,150781,451.2,449.05,456.55,447.7,452.18,0.5235602094240762,2.349999999999966
AARTIDRUGS,01-APR-2026 13:00:00,13:11:38,4.2,1.24,-120488.76,120490,63415,342.4,330.0,347.9,322.05,340.35,7.083659108678648,22.649999999999977
AARTIIND,01-APR-2026 13:00:00,13:11:38,13.0,3.15,-307764.85,307768,133337,415.25,406.15,416.9,405.0,411.92,4.059641648916172,16.19999999999999
AARTIPHARM,01-APR-2026 13:00:00,13:11:38,8.95,1.42,-134756.58,134758,65035,634.85,610.0,636.9,610.0,628.43,7.247233719064106,42.89999999999998
AAVAS,01-APR-2026 13:00:00,13:11:38,6.99,0.63,-60553.37,60554,31396,1125.9,1126.1,1129.8,1100.0,1117.65,4.443413729128023,47.90000000000009
ABBOTINDIA,01-APR-2026 13:00:00,13:11:38,13.05,0.05,-4201.95,4202,2330,26495.0,26415.0,26550.0,25990.0,26341.71,2.2380860505498745,580.0
ABDL,01-APR-2026 13:00:00,13:11:38,15.38,3.72,-366967.28,366971,148922,422.45,405.1,424.0,404.05,413.92,4.553891845068674,18.399999999999977
ABFRL,01-APR-2026 13:00:00,13:11:38,18.35,32.14,-3174097.86,3174130,1308431,58.08,55.5,58.29,55.33,57.1,7.775097420671734,4.189999999999998
ABLBL,01-APR-2026 13:00:00,13:11:39,5.05,5.45,-534675.55,534681,276061,93.11,89.3,93.5,89.3,92.55,5.530998526578256,4.8799999999999955
ABREL,01-APR-2026 13:00:00,13:11:39,13.19,1.14,-108716.86,108718,46501,1159.8,1130.0,1175.9,1130.0,1159.95,3.276936776491537,36.799999999999955
ABSLAMC,01-APR-2026 13:00:00,13:11:39,8.76,0.97,-91465.03,91466,50346,906.15,910.0,915.0,891.1,902.34,3.1708983263121966,27.850000000000023
ACC,01-APR-2026 13:00:00,13:11:39,19.56,1.49,-143164.51,143166,71176,1324.4,1280.1,1328.0,1280.1,1312.06,5.5635262234975436,69.80000000000018
