Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
3MINDIA,22-APR-2026 11:00:00,11:11:36,26.53,0.08,-7751.92,7752,3930,32005.0,31700.0,33055.0,31680.0,32057.64,1.3297451321829983,420.0
AADHARHFC,22-APR-2026 11:00:00,11:11:36,3.71,0.75,-68551.25,68552,46721,488.75,491.0,498.65,488.2,493.78,-1.1927625593854196,-5.899999999999977
AARTIDRUGS,22-APR-2026 11:00:00,11:11:36,1.32,0.36,-34506.64,34507,19939,365.0,364.0,366.55,361.6,364.23,0.9402654867256574,3.3999999999999773
AARTIIND,22-APR-2026 11:00:00,11:11:36,10.83,2.39,-229949.61,229952,101718,453.65,450.1,457.65,448.5,453.44,0.5429964539007067,2.4499999999999886
AARTIPHARM,22-APR-2026 11:00:00,11:11:36,4.12,0.59,-56651.41,56652,34959,694.45,700.0,706.65,692.15,696.22,-1.7334088014716285,-12.25
AAVAS,22-APR-2026 11:00:00,11:11:36,4.07,0.29,-28209.71,28210,17392,1395.7,1400.0,1418.0,1392.3,1399.87,-0.29289898556936056,-4.099999999999909
ABBOTINDIA,22-APR-2026 11:00:00,11:11:36,6.35,0.02,-2403.98,2404,1546,25495.0,25400.0,25665.0,25400.0,25540.33,0.4333267677762458,110.0
ABDL,22-APR-2026 11:00:00,11:11:36,5.81,1.04,-102239.96,102241,60577,557.5,564.55,567.75,551.0,556.55,-1.353622931964961,-7.649999999999977
ABFRL,22-APR-2026 11:00:00,11:11:36,5.89,9.07,-870018.93,870028,514968,65.19,64.65,65.53,64.35,64.91,1.148176881303328,0.7399999999999949
ABLBL,22-APR-2026 11:00:00,11:11:37,2.97,2.78,-263761.22,263764,182792,107.26,107.0,107.99,105.72,106.6,0.7703870725291314,0.8200000000000074
ABREL,22-APR-2026 11:00:00,11:11:37,11.54,0.81,-77701.19,77702,39738,1433.0,1436.0,1445.0,1413.4,1427.9,0.27991602519244224,4.0
