Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
360ONE,19-JAN-2026 15:00:00,15:11:04,549.45,45.77,-4508757.23,4508803,1172969,1173.0,1193.9,1228.0,1166.5,1200.45,-2.062286048259167,-24.700000000000045
ABB,19-JAN-2026 15:00:00,15:11:04,104.09,2.14,-203082.86,203085,123037,4876.0,4877.5,4942.0,4839.0,4873.19,0.07183170856849666,3.5
ABCAPITAL,19-JAN-2026 15:00:00,15:11:04,110.98,30.83,-2930651.17,2930682,1203597,361.35,362.0,362.5,356.0,359.94,-0.17955801104971747,-0.6499999999999773
ADANIENSOL,19-JAN-2026 15:00:00,15:11:04,75.74,8.33,-795234.67,795243,291458,910.2,908.7,921.0,902.3,909.45,0.16507098052162428,1.5
ADANIENT,19-JAN-2026 15:00:00,15:11:04,148.21,6.93,-670975.07,670982,241695,2137.5,2155.0,2156.8,2123.0,2138.86,-0.9178139340842804,-19.800000000000182
ADANIGREEN,19-JAN-2026 15:00:00,15:11:04,98.5,10.69,-1037691.31,1037702,360957,916.6,928.0,936.0,913.4,921.05,-1.4514568325986454,-13.5
ADANIPORTS,19-JAN-2026 15:00:00,15:11:04,148.11,10.54,-1008407.46,1008418,520302,1403.3,1421.0,1421.0,1395.6,1405.81,-1.3081088684155098,-18.600000000000136
ALKEM,19-JAN-2026 15:00:00,15:11:04,62.16,1.08,-98982.92,98984,54162,5754.0,5835.0,5844.5,5699.0,5742.96,-1.4135183757388847,-82.5
AMBER,19-JAN-2026 15:00:00,15:11:04,78.11,1.27,-119801.73,119803,29987,6090.5,6150.0,6220.0,6075.0,6139.79,-0.886899918633035,-54.5
AMBUJACEM,19-JAN-2026 15:00:00,15:11:05,62.08,11.24,-1082168.76,1082180,551213,552.85,551.3,555.4,546.95,552.2,-0.16252821670428483,-0.8999999999999773
ANGELONE,19-JAN-2026 15:00:00,15:11:05,296.64,10.88,-1062515.12,1062526,291003,2699.5,2765.0,2778.6,2680.4,2725.54,-1.9148317709468725,-52.69999999999982
APLAPOLLO,19-JAN-2026 15:00:00,15:11:05,47.94,2.49,-240692.51,240695,120642,1922.3,1940.7,1951.5,1911.8,1928.53,-0.9481115061575767,-18.40000000000009
APOLLOHOSP,19-JAN-2026 15:00:00,15:11:05,236.04,3.29,-314713.71,314717,227231,7135.0,7254.0,7260.0,7134.0,7183.66,-1.3889848662842927,-100.5
ASHOKLEY,19-JAN-2026 15:00:00,15:11:05,173.31,93.04,-8968443.96,8968537,4818383,187.81,183.1,188.4,182.34,186.28,1.9321573948439634,3.5600000000000023
ASIANPAINT,19-JAN-2026 15:00:00,15:11:05,348.72,12.59,-1217626.41,1217639,861609,2757.5,2756.9,2786.3,2750.3,2770.52,0.021763575029921618,0.599999999999909
ASTRAL,19-JAN-2026 15:00:00,15:11:05,29.8,2.07,-198088.93,198091,83464,1439.8,1457.8,1462.7,1418.1,1436.93,-1.6731544082496757,-24.5
AUBANK,19-JAN-2026 15:00:00,15:11:05,184.08,18.05,-1749985.95,1750004,832622,1021.2,1025.0,1026.2,1010.75,1019.62,-0.4095962551199576,-4.2000000000000455
AUROPHARMA,19-JAN-2026 15:00:00,15:11:05,55.26,4.73,-460473.27,460478,237218,1169.6,1167.0,1177.0,1160.1,1169.03,-0.2643472328813965,-3.1000000000001364
