Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
3MINDIA,02-APR-2026 13:00:00,13:11:37,13.05,0.04,-4155.96,4156,1689,29930.0,29300.0,30095.0,28730.0,29428.49,1.8200374213301582,535.0
AADHARHFC,02-APR-2026 13:00:00,13:11:37,4.43,1.01,-101146.99,101148,65592,437.9,448.0,448.0,433.25,437.04,-2.936938933835753,-13.25
AARTIDRUGS,02-APR-2026 13:00:00,13:11:37,2.49,0.73,-65542.27,65543,30563,350.8,340.0,352.4,335.55,341.62,1.2702078521940052,4.400000000000034
AARTIIND,02-APR-2026 13:00:00,13:11:37,19.08,4.72,-412934.28,412939,195106,407.5,404.4,410.6,395.9,403.78,-0.9479824987846324,-3.8999999999999773
AARTIPHARM,02-APR-2026 13:00:00,13:11:37,6.15,0.97,-93819.03,93820,40961,648.25,633.2,649.9,614.95,633.54,2.0785764900401618,13.200000000000045
AAVAS,02-APR-2026 13:00:00,13:11:37,9.39,0.84,-70216.16,70217,39433,1123.7,1120.0,1131.8,1101.3,1119.65,-0.9257626520895784,-10.5
ABBOTINDIA,02-APR-2026 13:00:00,13:11:37,5.6,0.02,-2004.98,2005,751,26260.0,26480.0,26550.0,25990.0,26269.3,-0.8682521706304266,-230.0
ABDL,02-APR-2026 13:00:00,13:11:37,8.72,2.1,-207963.9,207966,83120,419.35,410.0,422.9,406.3,414.27,-0.5218835250859895,-2.1999999999999886
ABFRL,02-APR-2026 13:00:00,13:11:37,12.65,22.55,-2184809.45,2184832,918175,56.69,56.35,56.98,55.22,56.11,-2.342807924203272,-1.3599999999999994
ABLBL,02-APR-2026 13:00:00,13:11:38,4.53,4.94,-489613.06,489618,290542,92.8,92.8,92.9,90.2,91.55,-0.7698887938408885,-0.7199999999999989
ABREL,02-APR-2026 13:00:00,13:11:39,6.89,0.62,-57401.38,57402,26416,1129.0,1151.5,1151.5,1105.2,1116.65,-2.2510822510822512,-26.0
ABSLAMC,02-APR-2026 13:00:00,13:11:39,5.98,0.68,-60727.32,60728,34759,881.85,895.0,895.0,872.4,881.7,-2.1688484579542884,-19.549999999999955
ACC,02-APR-2026 13:00:00,13:11:39,12.28,0.94,-91593.06,91594,40088,1315.0,1311.0,1319.0,1289.7,1306.04,-0.9714586941787853,-12.900000000000091
ACE,02-APR-2026 13:00:00,13:11:39,10.32,1.31,-124007.69,124009,60083,798.5,792.0,801.95,776.45,786.79,-1.6019716574245224,-13.0
ACI,02-APR-2026 13:00:00,13:11:39,2.47,0.43,-41447.57,41448,18882,580.2,580.0,581.15,567.85,572.82,-0.17205781142463866,-1.0
ACMESOLAR,02-APR-2026 13:00:00,13:11:39,52.29,19.34,-1783298.66,1783318,666351,275.25,266.45,276.7,264.4,270.43,3.1671664167915994,8.449999999999989
ACUTAAS,02-APR-2026 13:00:00,13:11:39,166.52,7.63,-734630.37,734638,264226,2126.4,2281.0,2281.1,2125.8,2183.65,-8.820376484713341,-205.69999999999982
ADANIPOWER,02-APR-2026 13:00:00,13:11:39,366.37,239.3,-23119723.7,23119963,10018660,155.41,154.5,155.7,150.62,153.1,-1.0820444274712093,-1.700000000000017
ADVENZYMES,02-APR-2026 13:00:00,13:11:40,2.05,0.77,-74240.23,74241,40423,270.5,268.0,271.15,260.0,266.68,1.5390390390390478,4.100000000000023
AEGISLOG,02-APR-2026 13:00:00,13:11:40,16.11,2.73,-261147.27,261150,136855,591.85,601.0,601.55,585.1,589.53,-1.9141531322505727,-11.549999999999955
AEGISVOPAK,02-APR-2026 13:00:00,13:11:40,3.03,1.86,-184637.14,184639,68022,163.66,164.75,164.75,160.91,162.89,-2.507893012450115,-4.210000000000008
AETHER,02-APR-2026 13:00:00,13:11:40,21.12,1.95,-186757.05,186759,59165,1097.5,1119.7,1119.7,1065.6,1084.89,-1.657706093189964,-18.5
AFCONS,02-APR-2026 13:00:00,13:11:40,2.54,0.92,-88787.08,88788,29546,281.45,281.9,281.95,274.2,277.15,-0.33640226628894787,-0.9499999999999886
AFFLE,02-APR-2026 13:00:00,13:11:40,8.09,0.57,-52925.43,52926,18752,1421.2,1432.5,1432.5,1400.8,1415.31,-1.127034924168641,-16.200000000000045
AGARWALEYE,02-APR-2026 13:00:00,13:11:40,1.14,0.27,-26463.73,26464,18268,416.25,416.0,417.9,410.5,413.76,-0.7747318235995232,-3.25
AGI,02-APR-2026 13:00:00,13:11:40,3.22,0.66,-63821.34,63822,31591,499.0,499.0,500.6,481.0,489.76,-0.7458975634012929,-3.75
AHLUCONT,02-APR-2026 13:00:00,13:11:41,1.68,0.25,-24489.75,24490,12345,683.55,670.0,683.95,659.45,669.33,0.6330511593669421,4.2999999999999545
AIAENG,02-APR-2026 13:00:00,13:11:41,5.12,0.14,-13826.86,13827,6329,3668.8,3611.3,3677.0,3555.2,3605.72,-0.3314316761749475,-12.199999999999818
AIIL,02-APR-2026 13:00:00,13:11:41,23.43,5.65,-556640.35,556646,258861,418.85,428.5,428.5,409.15,414.72,-3.1560693641618447,-13.649999999999977
AJANTPHARM,02-APR-2026 13:00:00,13:11:42,9.31,0.34,-32918.66,32919,15160,2790.0,2816.0,2816.8,2722.8,2771.76,-0.9514342516330652,-26.800000000000182
AJAXENGG,02-APR-2026 13:00:00,13:11:42,12.97,3.03,-302700.97,302704,271760,435.0,425.05,442.9,416.6,428.26,0.799443865137293,3.4499999999999886
AKUMS,02-APR-2026 13:00:00,13:11:42,5.5,1.13,-102427.87,102429,49911,500.4,490.0,504.0,479.55,488.5,0.7956491086715658,3.9499999999999886
AKZOINDIA,02-APR-2026 13:00:00,13:11:42,7.52,0.26,-16953.74,16954,6908,2985.3,2818.1,2992.3,2758.0,2902.15,3.963085495385693,113.80000000000018
ALIVUS,02-APR-2026 13:00:00,13:11:42,1.79,0.18,-18244.82,18245,8156,980.5,980.0,987.85,957.0,968.28,-0.3759398496240648,-3.7000000000000455
ALKYLAMINE,02-APR-2026 13:00:00,13:11:42,5.75,0.45,-42734.55,42735,15291,1304.1,1296.0,1304.1,1243.3,1271.86,-0.8590542800669136,-11.300000000000182
ALLCARGO,02-APR-2026 13:00:00,13:11:42,1.78,23.42,-2305563.58,2305587,1128878,7.75,7.7,7.81,7.32,7.6,0.3886010362694333,0.03000000000000025
