Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
3MINDIA,09-MAR-2026 10:00:00,10:11:40,1.94,0.01,-544.99,545,325,33310.0,34005.0,34005.0,33150.0,33386.68,-2.9428904428904428,-1010.0
AADHARHFC,09-MAR-2026 10:00:00,10:11:41,2.05,0.46,-37817.54,37818,21998,446.2,441.6,449.6,441.6,443.94,-1.9448412262388797,-8.850000000000023
AARTIDRUGS,09-MAR-2026 10:00:00,10:11:41,1.31,0.37,-34562.63,34563,26136,348.0,356.5,356.5,344.55,349.13,-2.54830579669561,-9.100000000000023
AARTIIND,09-MAR-2026 10:00:00,10:11:40,9.33,2.31,-187760.69,187763,99818,410.5,404.65,411.0,399.4,404.51,-2.1104089662573084,-8.850000000000023
AARTIPHARM,09-MAR-2026 10:00:00,10:11:41,2.42,0.36,-33439.64,33440,19006,678.7,685.0,686.0,670.85,677.2,-3.0636292223094954,-21.449999999999932
AAVAS,09-MAR-2026 10:00:00,10:11:41,13.76,1.17,-113962.83,113964,79812,1185.9,1204.0,1216.0,1152.1,1171.55,-3.420473979965795,-42.0
ABBOTINDIA,09-MAR-2026 10:00:00,10:11:41,3.39,0.01,-1192.99,1193,786,26925.0,27000.0,27095.0,26735.0,26904.46,-1.463860933211345,-400.0
ABDL,09-MAR-2026 10:00:00,10:11:41,3.64,0.8,-74148.2,74149,51491,456.25,473.0,473.95,453.15,456.8,-3.8664138221660393,-18.350000000000023
ABFRL,09-MAR-2026 10:00:00,10:11:41,6.99,11.62,-1040692.38,1040704,613257,60.0,61.2,61.36,59.71,60.1,-3.876962512015383,-2.4200000000000017
ABLBL,09-MAR-2026 10:00:00,10:11:42,1.9,1.93,-164148.07,164150,109074,98.3,100.0,100.0,97.73,98.46,-3.6085506962149507,-3.680000000000007
ABREL,09-MAR-2026 10:00:00,10:11:42,5.09,0.42,-41323.58,41324,31559,1203.1,1207.0,1210.0,1189.3,1202.27,-2.417065455430301,-29.800000000000182
ABSLAMC,09-MAR-2026 10:00:00,10:11:42,6.3,0.71,-63352.29,63353,37803,878.55,899.0,909.0,873.15,886.04,-4.95997403721333,-45.85000000000002
ACC,09-MAR-2026 10:00:00,10:11:42,8.78,0.61,-56265.39,56266,36771,1450.6,1476.0,1476.0,1435.7,1449.03,-3.370636823874243,-50.600000000000136
ACE,09-MAR-2026 10:00:00,10:11:42,4.94,0.58,-54348.42,54349,32679,852.0,843.05,865.0,842.15,848.56,-3.055128861580477,-26.850000000000023
ACI,09-MAR-2026 10:00:00,10:11:42,0.92,0.17,-16362.83,16363,10900,533.55,535.0,538.85,529.5,533.07,-3.0173589021176084,-16.600000000000023
ACMESOLAR,09-MAR-2026 10:00:00,10:11:42,2.94,1.33,-124583.67,124585,69368,221.29,226.02,226.4,219.5,221.36,-3.112959719789848,-7.110000000000014
ACUTAAS,09-MAR-2026 10:00:00,10:11:42,23.86,1.11,-94880.89,94882,57647,2177.9,2163.5,2213.6,2120.8,2158.49,-3.234549251344014,-72.79999999999973
ADANIPOWER,09-MAR-2026 10:00:00,10:11:42,74.12,53.9,-4935075.1,4935129,2670350,138.84,136.5,139.3,134.86,137.5,-0.10792143319663693,-0.15000000000000568
ADVENZYMES,09-MAR-2026 10:00:00,10:11:43,1.12,0.38,-31198.62,31199,24366,296.75,297.35,297.35,290.0,292.9,-0.20178241129982266,-0.6000000000000227
AEGISLOG,09-MAR-2026 10:00:00,10:11:43,5.86,0.9,-78321.1,78322,45469,655.0,660.0,660.0,644.8,650.7,-1.370275560909505,-9.100000000000023
AEGISVOPAK,09-MAR-2026 10:00:00,10:11:43,4.7,2.42,-212176.58,212179,97242,191.24,198.65,199.0,190.78,194.49,-4.197976154693916,-8.379999999999995
AETHER,09-MAR-2026 10:00:00,10:11:43,8.34,0.85,-56315.15,56316,32317,980.0,966.45,996.85,964.8,976.62,-3.1572706161371653,-31.950000000000045
AFCONS,09-MAR-2026 10:00:00,10:11:43,2.02,0.74,-55034.26,55035,32553,273.0,273.15,276.95,271.6,274.06,-3.550609432962378,-10.050000000000011
AFFLE,09-MAR-2026 10:00:00,10:11:43,5.44,0.41,-34230.59,34231,21734,1337.0,1310.0,1343.8,1309.0,1329.4,-1.0069598696875397,-13.599999999999909
AGARWALEYE,09-MAR-2026 10:00:00,10:11:44,0.38,0.09,-7249.91,7250,4857,438.35,435.0,438.4,430.0,436.13,-1.1054709531866842,-4.899999999999977
AGI,09-MAR-2026 10:00:00,10:11:43,1.99,0.41,-36039.59,36040,24512,486.45,491.5,493.5,478.2,483.77,-2.73917824652604,-13.699999999999989
AHLUCONT,09-MAR-2026 10:00:00,10:11:44,1.32,0.18,-14707.82,14708,10230,755.0,752.0,761.0,738.8,747.83,-1.7950052029136256,-13.799999999999955
AIAENG,09-MAR-2026 10:00:00,10:11:44,2.76,0.08,-6651.92,6652,4157,3586.3,3602.0,3649.6,3571.0,3597.62,-2.4003265750442186,-88.19999999999982
AIIL,09-MAR-2026 10:00:00,10:11:45,3.45,0.84,-76439.16,76440,35045,413.05,421.0,427.85,401.3,409.06,-4.419761656832111,-19.099999999999966
