Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
3MINDIA,06-FEB-2026 12:00:00,12:11:35,3.29,0.01,-905.99,906,530,35160.0,35375.0,35375.0,34925.0,35143.82,-0.8180535966149507,-290.0
AADHARHFC,06-FEB-2026 12:00:00,12:11:35,2.66,0.56,-54429.44,54430,33329,472.75,471.9,474.6,471.9,473.7,0.04232356364405643,0.19999999999998863
AARTIDRUGS,06-FEB-2026 12:00:00,12:11:35,2.4,0.64,-62562.36,62563,34654,374.8,375.6,377.7,371.3,375.17,-0.026673779674570793,-0.0999999999999659
AARTIIND,06-FEB-2026 12:00:00,12:11:34,40.53,9.15,-900277.85,900287,417170,443.35,451.2,452.85,437.55,442.76,-2.259700176366843,-10.25
AARTIPHARM,06-FEB-2026 12:00:00,12:11:34,4.87,0.63,-58991.37,58992,28926,776.0,783.35,784.95,763.45,769.94,-0.9382779089806628,-7.350000000000023
AAVAS,06-FEB-2026 12:00:00,12:11:34,78.54,5.95,-550726.05,550732,340068,1285.0,1380.0,1388.2,1283.1,1319.48,-6.850308082638637,-94.5
ABBOTINDIA,06-FEB-2026 12:00:00,12:11:34,4.59,0.02,-1583.98,1584,1134,27120.0,27200.0,27210.0,26915.0,27048.24,-0.34907220282932205,-95.0
ABDL,06-FEB-2026 12:00:00,12:11:35,4.22,0.83,-80900.17,80901,37699,511.2,510.0,514.25,506.0,510.66,-0.7282260413632501,-3.750000000000057
ABFRL,06-FEB-2026 12:00:00,12:11:34,35.0,51.91,-4992170.09,4992222,1950999,67.78,69.47,69.47,66.45,67.43,-4.387078572436168,-3.1099999999999994
ABLBL,06-FEB-2026 12:00:00,12:11:36,5.25,4.72,-467916.28,467921,215106,111.52,114.0,114.0,109.74,111.24,-2.2526075904987355,-2.5700000000000074
ABREL,06-FEB-2026 12:00:00,12:11:36,41.55,3.15,-304040.85,304044,100907,1337.1,1302.9,1349.0,1278.3,1318.42,2.577675489067887,33.59999999999991
ABSLAMC,06-FEB-2026 12:00:00,12:11:36,4.68,0.58,-57679.42,57680,34702,808.35,808.95,811.6,798.55,804.08,-0.1728928681691852,-1.3999999999999773
ACC,06-FEB-2026 12:00:00,12:11:36,11.46,0.69,-64264.31,64265,26565,1656.0,1675.0,1689.6,1652.5,1665.96,-1.2051067891659732,-20.200000000000045
ACE,06-FEB-2026 12:00:00,12:11:36,21.07,2.31,-214190.69,214193,102238,919.1,897.0,930.0,883.65,910.97,2.6697944593386924,23.899999999999977
ACI,06-FEB-2026 12:00:00,12:11:36,3.27,0.56,-54644.44,54645,29644,585.2,595.0,595.0,581.3,586.21,-1.8367860437809163,-10.949999999999932
ACMESOLAR,06-FEB-2026 12:00:00,12:11:36,4.15,1.85,-176179.15,176181,79884,222.22,227.11,227.11,222.05,224.7,-2.0668987704376174,-4.689999999999998
ACUTAAS,06-FEB-2026 12:00:00,12:11:36,28.23,1.42,-139673.58,139675,63327,1980.8,1985.0,2010.0,1961.3,1988.19,0.015147689977276169,0.2999999999999545
ADANIPOWER,06-FEB-2026 12:00:00,12:11:36,160.23,105.02,-9593200.98,9593306,4231912,153.5,152.0,154.11,150.0,152.57,0.032583903551652894,0.05000000000001137
ADVENZYMES,06-FEB-2026 12:00:00,12:11:37,1.08,0.37,-36158.63,36159,25087,292.0,289.25,294.1,285.5,289.93,0.27472527472527863,0.8000000000000114
AEGISLOG,06-FEB-2026 12:00:00,12:11:37,5.6,0.81,-72144.19,72145,36656,687.05,687.05,697.55,684.2,689.79,0.0,0.0
AEGISVOPAK,06-FEB-2026 12:00:00,12:11:37,5.5,2.47,-243431.53,243434,133879,223.35,225.0,225.29,220.7,222.8,-2.4203766001135882,-5.539999999999992
AETHER,06-FEB-2026 12:00:00,12:11:37,7.12,0.71,-69486.29,69487,41079,1008.7,1025.0,1035.9,1000.3,1009.0,-1.301369863013694,-13.299999999999955
AFCONS,06-FEB-2026 12:00:00,12:11:37,2.47,0.74,-68667.26,68668,46858,330.95,336.0,336.85,330.8,332.85,-2.2159846358398583,-7.5
AFFLE,06-FEB-2026 12:00:00,12:11:37,9.25,0.57,-54973.43,54974,25569,1635.2,1643.3,1648.9,1618.3,1631.21,-1.6894126134792224,-28.09999999999991
AGARWALEYE,06-FEB-2026 12:00:00,12:11:37,0.72,0.16,-15619.84,15620,9486,448.85,456.45,456.7,445.8,449.37,-1.6650235513199618,-7.599999999999966
AGI,06-FEB-2026 12:00:00,12:11:37,3.92,0.66,-62477.34,62478,41135,587.4,593.5,601.9,585.25,591.6,-1.0694736842105301,-6.350000000000023
AHLUCONT,06-FEB-2026 12:00:00,12:11:38,2.71,0.32,-31574.68,31575,22634,848.9,860.0,873.15,844.0,850.77,-2.2680174994243663,-19.700000000000045
AIAENG,06-FEB-2026 12:00:00,12:11:38,4.86,0.12,-11718.88,11719,7068,3874.5,3962.0,3962.1,3874.5,3903.42,-2.331736828837913,-92.5
AIIL,06-FEB-2026 12:00:00,12:11:39,5.34,1.08,-103522.92,103524,56683,500.3,495.0,503.05,487.25,492.95,0.18021625951142053,0.9000000000000341
AJANTPHARM,06-FEB-2026 12:00:00,12:11:39,5.55,0.2,-17866.8,17867,10229,2798.0,2828.3,2828.3,2788.0,2807.97,-0.6850530649913101,-19.300000000000182
AJAXENGG,06-FEB-2026 12:00:00,12:11:39,1.49,0.3,-29464.7,29465,20699,500.05,498.75,503.9,489.7,495.88,0.26065162907268397,1.3000000000000114
AKUMS,06-FEB-2026 12:00:00,12:11:39,0.9,0.2,-20128.8,20129,13094,442.7,446.0,446.0,440.0,442.54,-1.1057746006925029,-4.949999999999989
AKZOINDIA,06-FEB-2026 12:00:00,12:11:39,4.85,0.17,-16706.83,16707,8755,2873.5,2823.2,2880.0,2808.2,2844.3,1.7780611341338084,50.19999999999982
ALIVUS,06-FEB-2026 12:00:00,12:11:39,6.93,0.76,-75563.24,75564,33318,930.05,930.0,937.3,878.4,906.7,0.4753416518122376,4.399999999999977
ALKYLAMINE,06-FEB-2026 12:00:00,12:11:39,2.3,0.15,-14154.85,14155,7616,1535.1,1554.0,1554.0,1527.6,1536.83,-1.2416366443643965,-19.300000000000182
ALLCARGO,06-FEB-2026 12:00:00,12:11:39,3.06,29.55,-2862823.45,2862853,1887130,10.25,10.6,10.66,10.23,10.35,-4.115996258185215,-0.4399999999999995
ALOKINDS,06-FEB-2026 12:00:00,12:11:39,3.16,19.86,-1947847.14,1947867,1132818,15.87,16.05,16.11,15.75,15.9,-1.855287569573299,-0.3000000000000025
ANANDRATHI,06-FEB-2026 12:00:00,12:11:40,18.89,0.64,-61041.36,61042,45025,2969.9,2943.6,2969.9,2907.4,2933.13,0.8934637858404737,26.300000000000182
ANANTRAJ,06-FEB-2026 12:00:00,12:11:40,56.94,10.51,-1015974.49,1015985,402873,541.75,545.7,547.0,537.0,541.72,-1.0592639941557767,-5.7999999999999545
ANUP,06-FEB-2026 12:00:00,12:11:40,1.9,0.1,-8746.9,8747,5374,1945.1,1910.0,1950.0,1876.0,1910.76,2.352136392338445,44.69999999999982
ANURAS,06-FEB-2026 12:00:00,12:11:40,6.35,0.49,-46213.51,46214,23564,1310.0,1310.5,1320.5,1288.4,1306.42,0.2985988821682942,3.900000000000091
APARINDS,06-FEB-2026 12:00:00,12:11:40,17.49,0.18,-17018.82,17019,8508,9523.5,9480.5,9600.0,9432.0,9543.57,-0.12060828526481385,-11.5
APLLTD,06-FEB-2026 12:00:00,12:11:40,6.63,0.84,-82484.16,82485,23775,790.65,805.6,808.0,776.2,788.56,-2.4430871737923456,-19.800000000000068
APOLLOTYRE,06-FEB-2026 12:00:00,12:11:40,17.21,3.42,-331183.58,331187,178514,502.8,508.75,508.75,500.55,503.29,-0.9943881067244287,-5.050000000000011
APTUS,06-FEB-2026 12:00:00,12:11:40,37.8,14.46,-1384249.54,1384264,812783,258.85,269.0,269.0,258.25,261.41,-4.324524117538344,-11.699999999999989
ARE&M,06-FEB-2026 12:00:00,12:11:41,7.49,0.87,-84230.13,84231,50411,862.25,876.9,876.9,858.55,863.54,-1.5021704363719417,-13.149999999999977
ARVIND,06-FEB-2026 12:00:00,12:11:41,17.77,4.69,-457853.31,457858,247832,377.25,370.15,381.7,370.15,379.06,0.6939810489790532,2.6000000000000227
ARVINDFASN,06-FEB-2026 12:00:00,12:11:41,2.57,0.53,-50365.47,50366,26742,477.2,489.55,489.6,477.0,481.28,-2.5227249514860635,-12.350000000000023
ASAHIINDIA,06-FEB-2026 12:00:00,12:11:41,2.39,0.25,-24964.75,24965,11095,957.6,961.9,962.5,936.9,948.38,-1.1662710290019564,-11.299999999999955
ASHOKA,06-FEB-2026 12:00:00,12:11:41,4.52,2.99,-283615.01,283618,174151,150.6,152.1,152.6,149.49,151.06,-1.362326434372552,-2.0800000000000125
ASKAUTOLTD,06-FEB-2026 12:00:00,12:11:41,1.41,0.31,-30540.69,30541,20294,453.2,462.3,462.3,450.95,453.99,-1.7665546764929085,-8.150000000000034
ASTERDM,06-FEB-2026 12:00:00,12:11:42,61.67,11.16,-1063848.84,1063860,431230,559.75,536.5,561.0,528.75,552.61,4.052421228738721,21.799999999999955
ASTRAMICRO,06-FEB-2026 12:00:00,12:11:42,13.39,1.48,-147080.52,147082,71566,900.5,932.1,932.1,889.0,902.73,-3.7875954912121426,-35.450000000000045
ASTRAZEN,06-FEB-2026 12:00:00,12:11:42,0.83,0.01,-936.99,937,579,8584.0,8580.0,8607.0,8540.0,8573.35,-0.4349591138432987,-37.5
ATGL,06-FEB-2026 12:00:00,12:11:42,13.27,2.43,-231018.57,231021,105101,542.9,545.0,552.25,540.25,545.46,-0.4583791712504584,-2.5
ATHERENERG,06-FEB-2026 12:00:00,12:11:43,44.15,6.29,-609894.71,609901,208222,702.45,710.7,713.6,695.0,701.54,-1.6864940517844582,-12.049999999999955
ATUL,06-FEB-2026 12:00:00,12:11:43,4.21,0.07,-6362.93,6363,2846,6318.5,6260.0,6333.0,6163.0,6260.33,1.0394179259614615,65.0
AURIONPRO,06-FEB-2026 12:00:00,12:11:43,12.18,1.34,-129942.66,129944,61706,926.45,907.05,934.0,890.2,908.95,2.0375571342034253,18.5
AVALON,06-FEB-2026 12:00:00,12:11:43,122.32,11.32,-1114885.68,1114897,249297,1036.75,1018.25,1127.5,1011.4,1080.22,1.5923566878980893,16.25
AVANTIFEED,06-FEB-2026 12:00:00,12:11:43,144.61,14.11,-1395467.89,1395482,288165,1017.75,1049.0,1063.55,1001.1,1025.04,-5.868479467258606,-63.450000000000045
AWFIS,06-FEB-2026 12:00:00,12:11:43,4.72,1.3,-123852.7,123854,79909,361.0,372.6,372.6,359.55,364.01,-3.307888040712474,-12.350000000000023
AWL,06-FEB-2026 12:00:00,12:11:43,9.9,4.71,-461056.29,461061,250327,210.04,212.1,213.12,209.3,210.28,-2.2069093956606802,-4.740000000000009
AZAD,06-FEB-2026 12:00:00,12:11:43,3.44,0.23,-23004.77,23005,11629,1493.2,1505.0,1510.7,1475.3,1489.65,-0.40021344717182494,-6.0
BAJAJELEC,06-FEB-2026 12:00:00,12:11:43,1.34,0.33,-31271.67,31272,16000,408.35,412.15,414.0,406.75,409.43,-1.5312273932963507,-6.349999999999966
BAJAJHFL,06-FEB-2026 12:00:00,12:11:44,17.51,19.37,-1888137.63,1888157,1090039,90.45,91.29,91.29,89.95,90.4,-0.9418464571240822,-0.8599999999999994
BAJAJHLDNG,06-FEB-2026 12:00:00,12:11:44,29.94,0.28,-27240.72,27241,11909,10775.0,10915.0,10941.0,10675.0,10768.34,-1.0650996235423744,-116.0
BALAMINES,06-FEB-2026 12:00:00,12:11:44,10.96,0.98,-92761.02,92762,27518,1115.1,1104.9,1129.0,1090.7,1112.75,0.8957654723126911,9.899999999999864
BALKRISIND,06-FEB-2026 12:00:00,12:11:44,16.15,0.62,-60612.38,60613,29933,2636.0,2660.9,2676.0,2591.0,2620.91,-1.9272267281791866,-51.80000000000018
BALRAMCHIN,06-FEB-2026 12:00:00,12:11:44,3.47,0.78,-76036.22,76037,24082,441.05,445.75,448.45,439.55,443.74,-1.2537781260494718,-5.599999999999966
BALUFORGE,06-FEB-2026 12:00:00,12:11:44,14.31,3.27,-321230.73,321234,156344,438.95,442.0,445.45,428.95,436.96,-1.66890681003584,-7.449999999999989
BANCOINDIA,06-FEB-2026 12:00:00,12:11:44,3.32,0.53,-52266.47,52267,28223,625.6,629.2,631.0,618.05,624.3,-1.5035818310635212,-9.549999999999955
BASF,06-FEB-2026 12:00:00,12:11:44,2.85,0.08,-7410.92,7411,5157,3632.5,3737.0,3745.5,3623.0,3650.57,-3.228814236619864,-121.19999999999982
BATAINDIA,06-FEB-2026 12:00:00,12:11:45,2.93,0.35,-34005.65,34006,21364,845.55,852.4,852.45,842.95,846.18,-0.7104274307186552,-6.050000000000068
BAYERCROP,06-FEB-2026 12:00:00,12:11:45,2.22,0.05,-4547.95,4548,2193,4443.0,4474.0,4474.0,4421.0,4451.24,-0.3387093156277419,-15.100000000000364
BBL,06-FEB-2026 12:00:00,12:11:45,1.89,0.07,-6056.93,6057,3723,2818.4,2847.0,2855.8,2804.9,2829.83,-1.4889898636840233,-42.59999999999991
BBTC,06-FEB-2026 12:00:00,12:11:45,0.72,0.04,-3993.96,3994,2970,1770.0,1773.2,1773.8,1760.0,1767.06,-0.1804646965937314,-3.2000000000000455
BECTORFOOD,06-FEB-2026 12:00:00,12:11:46,2.46,1.12,-108784.88,108786,62439,219.06,221.45,223.03,218.51,220.23,-1.2932005587347382,-2.8700000000000045
BELRISE,06-FEB-2026 12:00:00,12:11:46,36.5,20.26,-1971837.74,1971858,1065887,179.4,183.0,183.89,177.51,180.18,-2.7853039991329718,-5.139999999999986
BEML,06-FEB-2026 12:00:00,12:11:46,18.1,1.04,-98511.96,98513,35107,1744.3,1734.9,1765.0,1706.0,1732.86,-0.10880769671286741,-1.900000000000091
BERGEPAINT,06-FEB-2026 12:00:00,12:11:46,8.53,1.84,-167068.16,167070,68131,466.4,465.0,468.9,458.45,463.84,-1.2492060131272569,-5.900000000000034
BHARTIHEXA,06-FEB-2026 12:00:00,12:11:46,77.75,4.57,-442836.43,442841,90923,1705.4,1627.4,1729.0,1627.0,1700.78,4.792921224038343,78.0
BIKAJI,06-FEB-2026 12:00:00,12:11:46,2.15,0.33,-32316.67,32317,20025,644.0,651.4,652.2,642.2,646.12,-1.476325250516328,-9.649999999999977
BIRLACORPN,06-FEB-2026 12:00:00,12:11:46,1.64,0.15,-15078.85,15079,7084,1078.6,1075.0,1086.3,1071.3,1077.43,-0.18508236165093467,-2.0
BLACKBUCK,06-FEB-2026 12:00:00,12:11:47,77.31,12.53,-1239349.47,1239362,865235,624.35,608.75,630.0,604.2,617.22,2.9600923482849684,17.950000000000045
BLS,06-FEB-2026 12:00:00,12:11:47,54.29,18.41,-1812487.59,1812506,594340,294.25,301.3,301.4,291.8,294.83,-1.949350216594476,-5.850000000000023
BLUEDART,06-FEB-2026 12:00:00,12:11:47,5.76,0.1,-9811.9,9812,4405,5846.5,5884.0,5884.0,5737.0,5816.36,-0.6373215499660095,-37.5
BLUEJET,06-FEB-2026 12:00:00,12:11:47,5.02,1.25,-122809.75,122811,74331,401.15,410.0,412.9,395.15,400.35,-1.3646422424391471,-5.550000000000011
BORORENEW,06-FEB-2026 12:00:00,12:11:47,3.79,0.76,-68384.24,68385,34097,500.8,502.15,505.0,497.0,500.7,-1.5916683041854915,-8.099999999999966
BRIGADE,06-FEB-2026 12:00:00,12:11:47,12.01,1.56,-151245.44,151247,61128,767.2,766.1,779.55,762.7,770.24,-0.5509106228530689,-4.25
BSOFT,06-FEB-2026 12:00:00,12:11:47,42.58,9.54,-874093.46,874103,369828,443.6,458.0,460.55,438.6,446.22,-3.680382151775049,-16.94999999999999
