Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
360ONE,09-APR-2026 14:00:00,14:11:04,253.06,25.33,-2492293.67,2492319,1556863,999.0,971.75,1015.95,964.6,998.91,2.8095091077493004,27.299999999999955
ABB,09-APR-2026 14:00:00,14:11:04,272.84,4.16,-403330.84,403335,191699,6623.0,6575.0,6642.0,6483.5,6559.54,0.8834729626808835,58.0
ABCAPITAL,09-APR-2026 14:00:00,14:11:04,187.79,55.48,-5382694.52,5382750,2596183,335.85,337.9,342.75,332.25,338.45,-0.7535460992907668,-2.5499999999999545
ADANIENSOL,09-APR-2026 14:00:00,14:11:04,173.29,16.24,-1599631.76,1599648,535360,1073.85,1073.2,1081.3,1052.8,1067.12,0.051243827448053156,0.5499999999999545
ADANIENT,09-APR-2026 14:00:00,14:11:04,427.43,20.96,-2079632.04,2079653,980501,2049.6,2039.8,2065.0,2010.3,2039.16,0.28378510617477026,5.7999999999999545
ADANIGREEN,09-APR-2026 14:00:00,14:11:04,485.98,46.97,-4563015.03,4563062,1532758,1044.0,1032.0,1046.2,1021.3,1034.73,1.3936774632156468,14.349999999999909
ADANIPORTS,09-APR-2026 14:00:00,14:11:04,367.03,25.5,-2519351.5,2519377,955572,1452.3,1437.0,1456.2,1415.2,1439.45,-0.0688089176357256,-1.0
ALKEM,09-APR-2026 14:00:00,14:11:03,44.43,0.84,-81518.16,81519,42096,5370.0,5269.0,5386.5,5181.5,5285.22,2.36370568051849,124.0
AMBER,09-APR-2026 14:00:00,14:11:04,132.81,1.95,-191603.05,191605,70323,6780.5,6900.5,6931.5,6740.0,6816.31,-2.3545506912442398,-163.5
AMBUJACEM,09-APR-2026 14:00:00,14:11:05,179.04,41.1,-4066445.9,4066487,1713601,434.45,446.95,446.95,432.2,435.61,-2.7532176832680495,-12.300000000000011
ANGELONE,09-APR-2026 14:00:00,14:11:05,645.58,232.24,-22498869.76,22499102,7810420,280.34,270.0,284.2,265.8,277.98,4.753007996412813,12.71999999999997
APLAPOLLO,09-APR-2026 14:00:00,14:11:05,75.61,3.71,-355642.29,355646,201929,2030.5,2047.7,2069.0,2022.7,2037.92,-0.8399667920105507,-17.200000000000045
APOLLOHOSP,09-APR-2026 14:00:00,14:11:06,186.0,2.49,-244559.51,244562,128371,7468.0,7400.0,7512.0,7364.0,7467.96,0.8984665270553267,66.5
