Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
360ONE,29-JAN-2026 12:00:00,12:11:03,40.39,3.57,-334381.43,334385,211633,1130.3,1139.8,1142.7,1122.0,1132.41,-0.8421791385209348,-9.600000000000136
ABB,29-JAN-2026 11:00:00,12:11:03,669.85,12.39,-93249.61,93262,55195,5502.5,5050.0,5533.5,4983.5,5405.75,9.100822841280856,459.0
ABCAPITAL,29-JAN-2026 11:00:00,12:11:03,91.33,26.54,-1288893.46,1288920,709246,338.35,347.55,352.45,338.1,344.08,-2.8567327016939386,-9.949999999999989
ADANIENSOL,29-JAN-2026 12:00:00,12:11:03,70.14,8.0,-777543.0,777551,349285,876.4,881.9,884.2,867.0,876.36,-0.6349206349206375,-5.600000000000023
ADANIENT,29-JAN-2026 11:00:00,12:11:03,117.36,5.91,-426001.09,426007,180405,1977.2,1999.8,1999.8,1972.5,1984.86,-0.8773249110141875,-17.5
ADANIGREEN,29-JAN-2026 11:00:00,12:11:03,109.14,13.28,-1130683.72,1130697,398591,821.2,824.4,827.8,816.5,822.04,-0.20658646251062485,-1.6999999999999318
ADANIPORTS,29-JAN-2026 11:00:00,12:11:03,106.74,7.73,-630748.27,630756,366046,1384.0,1384.9,1387.7,1371.6,1381.52,0.1519646863014624,2.099999999999909
ALKEM,29-JAN-2026 11:00:00,12:11:03,13.08,0.23,-18137.77,18138,7704,5669.0,5750.0,5750.0,5613.5,5671.3,-0.9349060725207515,-53.5
AMBER,29-JAN-2026 11:00:00,12:11:03,58.66,1.06,-83455.94,83457,46318,5500.0,5626.0,5638.0,5473.0,5540.83,-2.0306376914855715,-114.0
AMBUJACEM,29-JAN-2026 12:00:00,12:11:05,52.72,9.91,-973477.09,973487,658373,532.1,535.0,535.6,528.8,532.15,-0.34647438898773714,-1.8500000000000227
ANGELONE,29-JAN-2026 12:00:00,12:11:05,47.0,1.81,-176722.19,176724,64440,2573.3,2615.1,2638.0,2572.1,2598.03,-1.5984092386524311,-41.79999999999973
APLAPOLLO,29-JAN-2026 12:00:00,12:11:05,118.61,5.69,-561626.31,561632,314074,2075.3,2095.0,2151.1,2073.6,2085.13,-0.7508369201338986,-15.699999999999818
APOLLOHOSP,29-JAN-2026 12:00:00,12:11:05,99.95,1.47,-142477.53,142479,98554,6810.0,6899.0,6899.0,6756.0,6803.97,-0.9814612868047983,-67.5
ASHOKLEY,29-JAN-2026 12:00:00,12:11:05,90.64,46.83,-4538518.17,4538565,2332046,193.38,196.4,196.4,192.61,193.56,-0.9983105513746056,-1.950000000000017
ASIANPAINT,29-JAN-2026 12:00:00,12:11:05,392.31,16.04,-1544866.96,1544883,969400,2423.0,2511.8,2514.9,2422.0,2445.14,-3.5353133211243004,-88.80000000000018
ASTRAL,29-JAN-2026 11:00:00,12:11:05,15.22,1.05,-69426.95,69428,36523,1445.1,1441.1,1457.9,1438.0,1447.28,-0.5368573198430849,-7.800000000000182
AUBANK,29-JAN-2026 11:00:00,12:11:05,110.11,11.34,-780317.66,780329,481661,969.7,962.35,977.0,960.0,970.68,0.7637553904504621,7.350000000000023
AUROPHARMA,29-JAN-2026 12:00:00,12:11:05,21.19,1.87,-183024.13,183026,97912,1140.0,1140.4,1142.9,1127.2,1135.36,0.008772699359584968,0.09999999999990905
AXISBANK,29-JAN-2026 11:00:00,12:11:06,697.34,52.49,-3276441.51,3276494,2349823,1339.0,1318.0,1341.1,1306.0,1328.49,1.4547658736172182,19.200000000000045
BAJAJ-AUTO,29-JAN-2026 11:00:00,12:11:06,183.22,1.94,-116588.06,116590,71003,9423.5,9475.0,9533.0,9381.5,9444.57,-0.10600519425451847,-10.0
BAJAJFINSV,29-JAN-2026 11:00:00,12:11:06,39.67,2.05,-137346.95,137349,68557,1929.5,1927.0,1939.0,1921.1,1931.24,-0.5566149564500311,-10.799999999999955
BAJAJHLDNG,29-JAN-2026 11:00:00,12:11:06,20.51,0.19,-12047.81,12048,6950,10701.0,10749.0,10766.0,10641.0,10687.92,-0.028026905829596414,-3.0
BAJFINANCE,29-JAN-2026 11:00:00,12:11:06,253.14,27.22,-1817285.78,1817313,1199741,931.85,935.15,935.45,923.7,930.01,-0.3528845639736892,-3.2999999999999545
BANDHANBNK,29-JAN-2026 11:00:00,12:11:06,48.89,31.99,-2393056.01,2393088,1236222,151.99,153.4,154.4,150.9,152.8,-0.8868601238995666,-1.3599999999999852
BANKBARODA,29-JAN-2026 11:00:00,12:11:06,154.04,50.26,-3866885.74,3866936,2188865,303.4,307.0,309.25,302.95,306.47,-0.9144350097975217,-2.8000000000000114
BANKINDIA,29-JAN-2026 11:00:00,12:11:06,152.32,90.73,-7144452.27,7144543,3556476,165.79,167.7,169.9,165.42,167.9,-0.9262579180112415,-1.5500000000000114
BDL,29-JAN-2026 12:00:00,12:11:06,194.63,12.46,-1220396.54,1220409,539434,1540.2,1583.6,1593.9,1537.2,1562.64,-1.8980891719745194,-29.799999999999955
BEL,29-JAN-2026 11:00:00,12:11:07,1123.37,251.97,-20773943.03,20774195,8556753,441.7,454.25,455.95,438.25,445.84,-2.494481236203093,-11.300000000000011
BHARATFORG,29-JAN-2026 11:00:00,12:11:07,42.86,2.97,-241330.03,241333,128686,1440.3,1461.1,1463.1,1431.8,1441.38,-1.2884654924268353,-18.799999999999955
BHARTIARTL,29-JAN-2026 11:00:00,12:11:07,530.78,27.16,-1827451.84,1827479,1208424,1968.6,1964.0,1969.3,1939.0,1954.32,0.5567758083465221,10.899999999999864
BHEL,29-JAN-2026 11:00:00,12:11:07,98.62,38.05,-3186873.95,3186912,1208149,257.7,260.8,261.6,256.5,259.2,-0.7510109763142649,-1.9499999999999886
BIOCON,29-JAN-2026 11:00:00,12:11:07,31.08,8.56,-574284.44,574293,314816,363.65,371.2,371.2,359.1,362.89,-1.8488529014844866,-6.850000000000023
BLUESTARCO,29-JAN-2026 12:00:00,12:11:08,18.66,1.1,-105716.9,105718,32217,1686.1,1715.9,1721.1,1676.5,1699.72,-0.9050837496326825,-15.400000000000091
BOSCHLTD,29-JAN-2026 12:00:00,12:11:08,20.16,0.06,-5417.94,5418,2105,35940.0,35960.0,36125.0,35750.0,35917.16,-0.6770761365206577,-245.0
BPCL,29-JAN-2026 11:00:00,12:11:08,195.35,53.81,-3279877.19,3279931,1550623,362.85,362.35,365.7,357.25,363.06,0.1379881330205602,0.5
