Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
3MINDIA,15-APR-2026 10:00:00,10:11:36,1.95,0.01,-557.99,558,350,31650.0,32000.0,32000.0,31590.0,31729.65,1.2637977923532235,395.0
AADHARHFC,15-APR-2026 10:00:00,10:11:36,3.81,0.8,-66684.2,66685,43111,474.4,476.55,477.0,467.9,473.14,1.022146507666089,4.7999999999999545
AARTIDRUGS,15-APR-2026 10:00:00,10:11:36,1.09,0.3,-29122.7,29123,17414,360.5,359.3,362.0,356.5,359.92,2.153584584868241,7.600000000000023
AARTIIND,15-APR-2026 10:00:00,10:11:36,18.81,4.37,-410085.63,410090,258227,429.0,433.0,433.8,427.05,430.05,1.107706811218475,4.699999999999989
AARTIPHARM,15-APR-2026 10:00:00,10:11:36,3.87,0.55,-44882.45,44883,25982,709.3,696.95,710.6,696.95,704.6,2.54445568888245,17.59999999999991
AAVAS,15-APR-2026 10:00:00,10:11:36,9.44,0.74,-59853.26,59854,35638,1284.0,1321.0,1321.0,1265.0,1281.0,0.03116235587411117,0.40000000000009095
ABBOTINDIA,15-APR-2026 10:00:00,10:11:36,8.23,0.03,-3006.97,3007,1722,25910.0,25895.0,25985.0,25760.0,25848.98,0.7191448007774538,185.0
ABDL,15-APR-2026 10:00:00,10:11:36,8.57,1.68,-156530.32,156532,98087,508.0,509.0,514.6,506.0,509.89,1.6203240648129673,8.100000000000023
ABFRL,15-APR-2026 10:00:00,10:11:36,23.18,35.94,-3229181.06,3229217,1872434,64.75,64.0,65.19,63.19,64.49,4.502905100064556,2.789999999999999
ABLBL,15-APR-2026 10:00:00,10:11:37,2.89,2.73,-198419.27,198422,97471,107.49,104.97,107.6,104.25,105.78,4.359223300970869,4.489999999999995
ABREL,15-APR-2026 10:00:00,10:11:37,17.77,1.26,-108012.74,108014,43326,1409.3,1400.0,1429.9,1399.0,1415.2,3.3438439539488085,45.59999999999991
ABSLAMC,15-APR-2026 10:00:00,10:11:37,10.16,0.99,-88455.01,88456,46337,1026.95,1027.0,1039.95,1014.8,1027.85,1.6580875074242725,16.75
ACC,15-APR-2026 10:00:00,10:11:37,14.39,1.0,-94555.0,94556,57209,1431.8,1429.0,1446.7,1422.4,1431.51,1.5101028004253778,21.299999999999955
ACE,15-APR-2026 10:00:00,10:11:37,10.77,1.19,-114075.81,114077,64689,907.7,905.3,912.0,901.2,906.87,2.2184684684684735,19.700000000000045
ACI,15-APR-2026 10:00:00,10:11:37,1.14,0.19,-16831.81,16832,11001,613.4,615.0,617.85,609.4,612.82,0.5491353167773171,3.3500000000000227
ACMESOLAR,15-APR-2026 10:00:00,10:11:38,20.32,7.05,-650325.95,650333,328491,286.8,289.75,291.35,286.3,288.3,0.9681394120753387,2.75
ACUTAAS,15-APR-2026 10:00:00,10:11:38,42.38,1.79,-158648.21,158650,106986,2333.0,2440.0,2443.0,2330.2,2371.14,-2.531751336898392,-60.59999999999991
ADANIPOWER,15-APR-2026 10:00:00,10:11:37,359.87,194.9,-18145560.1,18145755,9011039,184.86,185.27,187.07,182.6,184.64,1.9354838709677529,3.5100000000000193
ADVENZYMES,15-APR-2026 10:00:00,10:11:38,2.18,0.72,-63533.28,63534,44117,302.6,302.0,305.8,300.0,302.33,1.1025726695623157,3.3000000000000114
AEGISLOG,15-APR-2026 10:00:00,10:11:39,162.25,24.36,-2231332.64,2231357,674773,667.7,634.0,679.0,633.0,666.04,8.050813172586778,49.75
AEGISVOPAK,15-APR-2026 10:00:00,10:11:39,5.81,3.02,-267193.98,267197,136006,195.01,192.1,195.94,189.0,192.29,3.662555815436948,6.889999999999986
AETHER,15-APR-2026 10:00:00,10:11:39,14.66,1.25,-117994.75,117996,56725,1181.2,1211.9,1211.9,1158.0,1176.85,-0.3459039905509077,-4.099999999999909
AFCONS,15-APR-2026 10:00:00,10:11:39,15.29,4.79,-149292.21,149297,91140,322.0,310.0,322.5,310.0,319.31,5.091383812010452,15.600000000000023
AFFLE,15-APR-2026 10:00:00,10:11:39,8.85,0.62,-55405.38,55406,36789,1422.0,1435.0,1440.0,1417.7,1426.65,0.14084507042253522,2.0
AGARWALEYE,15-APR-2026 10:00:00,10:11:39,1.44,0.32,-31696.68,31697,23857,448.75,444.9,449.0,437.1,445.83,3.5895660203139452,15.550000000000011
AGI,15-APR-2026 10:00:00,10:11:39,3.33,0.6,-55199.4,55200,37358,554.9,551.7,557.0,542.95,551.68,3.333333333333329,17.899999999999977
AHLUCONT,15-APR-2026 10:00:00,10:11:39,1.99,0.25,-22041.75,22042,13587,803.05,805.0,809.45,794.15,802.76,2.3384733018988033,18.34999999999991
AIAENG,15-APR-2026 10:00:00,10:11:40,2.07,0.05,-4288.95,4289,2319,3895.2,3894.8,3927.4,3852.3,3881.22,1.779415223014813,68.09999999999991
AIIL,15-APR-2026 10:00:00,10:11:40,5.02,1.13,-109873.87,109875,61031,443.95,436.0,446.55,432.75,442.85,3.545189504373175,15.199999999999989
AJANTPHARM,15-APR-2026 10:00:00,10:11:40,3.07,0.11,-9540.89,9541,6290,2910.3,2925.0,2934.0,2897.7,2911.83,0.44869361129327306,13.0
AJAXENGG,15-APR-2026 10:00:00,10:11:40,1.42,0.3,-25731.7,25732,16426,485.7,476.0,487.9,470.2,479.84,3.7598803674428463,17.599999999999966
AKUMS,15-APR-2026 10:00:00,10:11:40,15.55,2.86,-267341.14,267344,130841,550.25,531.95,554.95,528.0,543.96,4.929443173150271,25.850000000000023
AKZOINDIA,0,10:11:40,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALIVUS,15-APR-2026 10:00:00,10:11:40,1.35,0.13,-12395.87,12396,8298,1059.0,1051.4,1065.0,1045.55,1059.65,1.2186379928315414,12.75
ALKYLAMINE,15-APR-2026 10:00:00,10:11:40,1.92,0.14,-11792.86,11793,6067,1405.9,1409.4,1412.8,1394.1,1403.54,1.7293777134587618,23.90000000000009
ALLCARGO,15-APR-2026 10:00:00,10:11:40,2.8,31.73,-2852059.27,2852091,1784534,8.96,8.81,8.98,8.71,8.83,4.795321637426902,0.41000000000000014
ALOKINDS,15-APR-2026 10:00:00,10:11:41,4.56,32.0,-2970460.0,2970492,1761230,14.26,14.03,14.44,14.03,14.25,3.4833091436865056,0.4800000000000004
ANANDRATHI,15-APR-2026 10:00:00,10:11:42,52.61,1.44,-134144.56,134146,75890,3666.7,3629.9,3682.0,3614.0,3650.21,2.073937976727354,74.5
