Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
360ONE,02-APR-2026 12:00:00,12:11:04,14.34,1.55,-150975.45,150977,67603,927.05,936.0,940.25,915.0,922.64,-2.7280835213262686,-26.0
ABB,02-APR-2026 12:00:00,12:11:05,83.5,1.4,-136330.6,136332,61920,6038.0,6021.5,6055.0,5916.5,5969.48,-0.41233712683490026,-25.0
ABCAPITAL,02-APR-2026 11:00:00,12:11:04,36.71,12.64,-983726.36,983739,397042,290.6,298.9,298.9,287.7,290.49,-4.060746120831943,-12.299999999999955
ADANIENSOL,02-APR-2026 12:00:00,12:11:05,82.6,9.06,-892028.94,892038,258361,915.5,940.0,944.95,903.15,911.28,-4.296466652728415,-41.10000000000002
ADANIENT,02-APR-2026 11:00:00,12:11:04,163.34,9.15,-748577.85,748587,281157,1794.8,1805.0,1812.6,1770.1,1785.79,-2.588873812754412,-47.700000000000045
ADANIGREEN,02-APR-2026 12:00:00,12:11:04,102.0,12.4,-1205087.6,1205100,399375,825.7,840.0,841.8,814.75,822.82,-3.0811667351370384,-26.25
ADANIPORTS,02-APR-2026 12:00:00,12:11:04,172.73,12.87,-1258131.13,1258144,563498,1347.2,1354.4,1360.0,1332.6,1342.29,-2.757326403926667,-38.200000000000045
ALKEM,02-APR-2026 12:00:00,12:11:04,19.18,0.37,-36213.63,36214,10940,5173.0,5210.5,5216.5,5075.0,5122.9,-1.3633330155400896,-71.5
AMBER,02-APR-2026 12:00:00,12:11:04,141.94,2.26,-222327.74,222330,84442,6262.5,6520.0,6520.0,6218.5,6284.37,-4.817995288395775,-317.0
AMBUJACEM,02-APR-2026 11:00:00,12:11:06,30.16,7.36,-584608.64,584616,220649,409.5,414.5,415.0,406.7,409.54,-2.5811823480433023,-10.850000000000023
ANGELONE,02-APR-2026 11:00:00,12:11:06,61.4,26.49,-2088574.51,2088601,690260,232.89,233.0,235.89,228.45,231.82,-3.2044887780548663,-7.710000000000008
APLAPOLLO,02-APR-2026 12:00:00,12:11:06,50.46,2.71,-265837.29,265840,113410,1875.4,1929.0,1929.0,1834.0,1861.62,-3.07008476328302,-59.399999999999864
APOLLOHOSP,02-APR-2026 12:00:00,12:11:06,82.55,1.15,-110391.85,110393,52044,7267.5,7150.5,7276.5,7150.5,7194.4,-0.5201560468140443,-38.0
ASHOKLEY,02-APR-2026 12:00:00,12:11:06,263.65,181.46,-17582271.54,17582453,9163461,143.93,147.4,147.56,143.53,145.3,-3.4739454094292848,-5.180000000000007
ASIANPAINT,02-APR-2026 12:00:00,12:11:06,155.94,7.21,-699146.79,699154,401591,2153.1,2185.0,2185.1,2142.4,2162.6,-3.266241351424219,-72.70000000000027
ASTRAL,02-APR-2026 12:00:00,12:11:06,137.2,9.25,-873137.75,873147,255246,1512.0,1539.8,1539.8,1456.6,1483.83,-3.7126663694835353,-58.299999999999955
AUBANK,02-APR-2026 12:00:00,12:11:06,97.11,11.54,-1133563.46,1133575,544122,840.25,858.0,858.0,831.65,841.3,-3.96045262315693,-34.64999999999998
AUROPHARMA,02-APR-2026 12:00:00,12:11:06,138.62,10.73,-1042910.27,1042921,336729,1317.3,1335.5,1335.5,1266.1,1291.74,-1.8478503837269917,-24.799999999999955
AXISBANK,02-APR-2026 11:00:00,12:11:07,475.26,40.93,-2111068.07,2111109,1312076,1153.8,1174.6,1177.9,1151.0,1161.15,-3.2939401558964008,-39.299999999999955
BAJAJ-AUTO,02-APR-2026 12:00:00,12:11:07,71.92,0.83,-80766.17,80767,32323,8657.5,8835.5,8835.5,8632.0,8701.8,-2.6755100893710306,-238.0
BAJAJFINSV,02-APR-2026 11:00:00,12:11:08,122.61,7.63,-427523.37,427531,259865,1606.9,1635.0,1635.0,1597.0,1607.79,-2.4347298117789866,-40.09999999999991
BAJAJHLDNG,02-APR-2026 12:00:00,12:11:08,24.37,0.28,-27327.72,27328,13971,8840.0,8780.0,8841.0,8588.0,8665.23,-0.7522173571348377,-67.0
BAJFINANCE,02-APR-2026 12:00:00,12:11:07,345.43,43.08,-4111779.92,4111823,1983477,809.55,809.0,812.0,792.45,801.9,-0.9482442187691179,-7.75
BANDHANBNK,02-APR-2026 12:00:00,12:11:07,45.87,32.26,-3113547.74,3113580,1316978,141.43,145.58,145.58,141.16,142.19,-4.225638247443611,-6.239999999999981
BANKBARODA,02-APR-2026 12:00:00,12:11:08,175.28,71.92,-6921524.08,6921596,3695763,243.04,248.95,248.95,241.0,243.72,-3.567035670356707,-8.990000000000009
BANKINDIA,02-APR-2026 12:00:00,12:11:08,44.22,32.46,-2883323.54,2883356,1280038,135.48,139.5,139.5,135.09,136.21,-4.38955539872971,-6.219999999999999
BDL,02-APR-2026 12:00:00,12:11:08,85.34,7.29,-709387.71,709395,189171,1178.4,1174.0,1187.2,1159.4,1171.01,-2.118116122601545,-25.5
BEL,02-APR-2026 12:00:00,12:11:08,366.0,88.68,-8579164.32,8579253,3828796,416.35,417.0,417.0,407.5,412.71,-0.561261046095048,-2.349999999999966
BHARATFORG,02-APR-2026 11:00:00,12:11:09,53.97,3.31,-218714.69,218718,98543,1628.3,1644.7,1650.0,1613.4,1628.66,-2.403500359625997,-40.100000000000136
BHARTIARTL,02-APR-2026 12:00:00,12:11:09,652.04,37.11,-3482692.89,3482730,2403452,1754.7,1765.0,1777.0,1746.9,1756.86,-1.5264605196700176,-27.200000000000045
BHEL,02-APR-2026 12:00:00,12:11:09,94.25,38.7,-3741835.3,3741874,1441609,244.75,248.95,248.95,240.92,243.53,-2.8152795425667105,-7.090000000000003
BIOCON,02-APR-2026 12:00:00,12:11:09,108.17,31.12,-2977904.88,2977936,1225750,350.5,362.25,363.15,342.1,347.62,-4.025191675794082,-14.699999999999989
BLUESTARCO,02-APR-2026 12:00:00,12:11:09,206.48,13.99,-1368848.01,1368862,527266,1511.2,1527.9,1528.0,1450.0,1476.16,-2.897898862687137,-45.09999999999991
BOSCHLTD,02-APR-2026 12:00:00,12:11:09,87.87,0.29,-22655.71,22656,8022,31380.0,30035.0,31520.0,29900.0,30820.49,2.431858984821283,745.0
BPCL,02-APR-2026 12:00:00,12:11:09,200.01,74.16,-7207991.84,7208066,3313354,273.45,275.3,276.0,266.6,269.7,-2.7733333333333374,-7.800000000000011
BRITANNIA,02-APR-2026 12:00:00,12:11:09,92.32,1.71,-162342.29,162344,96342,5373.5,5460.0,5460.0,5351.5,5385.48,-1.835951772013153,-100.5
BSE,02-APR-2026 12:00:00,12:11:10,475.73,17.06,-1645085.94,1645103,475410,2808.5,2808.0,2834.4,2763.0,2788.12,-2.0609568977542163,-59.09999999999991
CAMS,02-APR-2026 12:00:00,12:11:10,57.03,8.93,-851479.07,851488,405625,640.95,650.0,650.5,630.45,638.76,-2.197299153124281,-14.399999999999977
CANBK,02-APR-2026 12:00:00,12:11:10,169.29,137.77,-12804602.23,12804740,6176989,122.44,124.16,124.96,121.79,122.88,-3.8177533385703057,-4.859999999999999
CDSL,02-APR-2026 12:00:00,12:11:10,118.6,10.35,-1000318.65,1000329,374024,1152.6,1155.0,1159.2,1136.1,1145.95,-2.5532634426783942,-30.200000000000045
CGPOWER,02-APR-2026 12:00:00,12:11:10,53.42,8.07,-775883.93,775892,321578,666.5,670.25,673.0,655.6,661.81,-2.0285168308099304,-13.799999999999955
CHOLAFIN,02-APR-2026 12:00:00,12:11:10,147.71,11.27,-1100476.73,1100488,673119,1316.4,1359.7,1359.7,1299.4,1310.95,-4.164239953407092,-57.19999999999982
CIPLA,02-APR-2026 12:00:00,12:11:11,138.12,11.74,-1156116.26,1156128,720816,1186.1,1190.0,1193.9,1165.7,1176.37,-0.8194665105778227,-9.800000000000182
COALINDIA,02-APR-2026 12:00:00,12:11:10,159.04,35.77,-3529853.23,3529889,1562277,445.9,448.4,453.3,440.5,444.67,-0.778816199376947,-3.5
COFORGE,02-APR-2026 12:00:00,12:11:11,259.84,22.32,-2144154.68,2144177,738848,1182.6,1133.3,1184.0,1130.0,1164.41,2.4872172631943683,28.699999999999818
COLPAL,02-APR-2026 12:00:00,12:11:11,18.69,1.04,-102275.96,102277,51159,1802.1,1817.0,1817.8,1782.1,1796.98,-0.9671923943507247,-17.600000000000136
