Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
3MINDIA,23-MAR-2026 12:00:00,12:11:36,8.03,0.03,-2536.97,2537,1125,31325.0,31960.0,32035.0,31085.0,31372.65,-2.928416485900217,-945.0
AADHARHFC,23-MAR-2026 12:00:00,12:11:37,6.81,1.54,-149682.46,149684,77273,443.15,447.65,449.8,435.5,442.64,-1.4893853506724564,-6.7000000000000455
AARTIDRUGS,23-MAR-2026 12:00:00,12:11:37,2.78,0.83,-80041.17,80042,47867,330.35,344.7,344.7,329.9,334.22,-3.730147165962394,-12.799999999999955
AARTIIND,23-MAR-2026 12:00:00,12:11:37,13.1,3.19,-309682.81,309686,157691,406.35,420.95,422.0,405.0,410.34,-4.914004914004914,-21.0
AARTIPHARM,23-MAR-2026 12:00:00,12:11:36,7.49,1.2,-116787.8,116789,50002,624.7,640.95,641.0,617.8,624.9,-3.087185851690968,-19.899999999999977
AAVAS,23-MAR-2026 12:00:00,12:11:37,12.64,1.18,-115223.82,115225,80036,1076.2,1091.0,1091.9,1060.4,1069.28,-1.9943538839814101,-21.899999999999864
ABBOTINDIA,23-MAR-2026 12:00:00,12:11:36,17.98,0.07,-6810.93,6811,4311,25540.0,26570.0,26570.0,25500.0,25766.2,-4.398278120905858,-1175.0
ABDL,23-MAR-2026 12:00:00,12:11:37,9.46,2.39,-235522.61,235525,135056,391.8,408.65,408.9,390.75,395.96,-4.07638633859713,-16.649999999999977
ABFRL,23-MAR-2026 12:00:00,12:11:37,16.61,29.09,-2824240.91,2824270,1546637,55.95,59.2,59.3,55.67,57.12,-6.718906302100692,-4.029999999999994
ABLBL,23-MAR-2026 12:00:00,12:11:38,10.56,11.5,-1120282.5,1120294,660723,92.48,92.6,93.54,90.0,91.83,-0.8044620830204869,-0.75
ABREL,23-MAR-2026 12:00:00,12:11:38,6.92,0.61,-59354.39,59355,27878,1118.4,1155.0,1159.5,1114.5,1128.86,-4.032950060065214,-47.0
ABSLAMC,23-MAR-2026 12:00:00,12:11:38,11.12,1.2,-118322.8,118324,54358,915.9,937.9,939.9,906.55,923.04,-3.043455247975441,-28.75
ACC,23-MAR-2026 12:00:00,12:11:38,21.1,1.57,-147337.43,147339,84604,1335.0,1374.9,1374.9,1332.5,1344.71,-3.358911249457079,-46.40000000000009
ACE,23-MAR-2026 12:00:00,12:11:38,11.01,1.37,-132019.63,132021,85112,799.0,821.0,825.0,792.9,803.0,-3.636253995055174,-30.149999999999977
ACI,23-MAR-2026 12:00:00,12:11:38,11.43,1.89,-176601.11,176603,62672,604.75,598.75,621.8,583.05,604.44,0.5821205821205822,3.5
ACMESOLAR,23-MAR-2026 12:00:00,12:11:38,12.44,5.18,-506652.82,506658,186161,241.0,246.37,246.38,236.62,240.09,-2.1796484961643077,-5.3700000000000045
ACUTAAS,23-MAR-2026 12:00:00,12:11:38,76.93,3.29,-323789.71,323793,157589,2286.0,2361.5,2420.0,2276.5,2338.8,-4.742061838486547,-113.80000000000018
ADANIPOWER,23-MAR-2026 12:00:00,12:11:38,199.95,135.17,-13097831.83,13097967,5951941,145.69,151.54,152.87,144.65,147.93,-3.8603668998284246,-5.849999999999994
ADVENZYMES,23-MAR-2026 12:00:00,12:11:39,1.57,0.59,-58215.41,58216,40683,267.55,267.65,269.25,265.0,266.66,-1.8525311812179055,-5.050000000000011
AEGISLOG,23-MAR-2026 12:00:00,12:11:39,25.97,4.36,-425522.64,425527,217147,582.8,607.0,614.3,581.0,595.62,-4.7245381723067,-28.90000000000009
AEGISVOPAK,23-MAR-2026 12:00:00,12:11:39,40.01,22.43,-2201312.57,2201335,893849,172.92,176.5,181.21,172.19,178.33,-3.1477540047048307,-5.6200000000000045
AETHER,23-MAR-2026 12:00:00,12:11:40,35.41,3.1,-305184.9,305188,95503,1122.0,1149.8,1175.95,1109.75,1142.49,-2.9033793431699153,-33.549999999999955
AFCONS,23-MAR-2026 12:00:00,12:11:40,6.0,2.23,-215119.77,215122,143183,269.85,276.75,276.75,265.8,269.69,-3.192825112107615,-8.899999999999977
AFFLE,23-MAR-2026 12:00:00,12:11:40,17.05,1.35,-124973.65,124975,81852,1265.5,1275.0,1279.3,1251.3,1263.23,-1.5711285680952047,-20.200000000000045
AGARWALEYE,23-MAR-2026 12:00:00,12:11:40,1.99,0.48,-47174.52,47175,27369,416.1,416.5,419.7,410.35,415.32,-1.9441498762813714,-8.25
AGI,23-MAR-2026 12:00:00,12:11:40,4.87,1.02,-99994.98,99996,62551,473.6,492.0,498.0,470.3,479.99,-5.109196553796834,-25.5
AHLUCONT,23-MAR-2026 12:00:00,12:11:40,5.5,0.79,-78200.21,78201,60143,688.3,719.0,719.15,681.4,692.75,-5.055521070418662,-36.65000000000009
AIAENG,23-MAR-2026 12:00:00,12:11:41,13.37,0.4,-39952.6,39953,20539,3338.6,3399.9,3400.4,3282.2,3326.24,-2.0823557015485687,-71.0
AIIL,23-MAR-2026 12:00:00,12:11:41,17.09,3.53,-347680.47,347684,104632,481.85,481.65,508.8,470.8,484.11,-2.10280373831775,-10.349999999999966
AJANTPHARM,23-MAR-2026 12:00:00,12:11:41,18.95,0.67,-66136.33,66137,37388,2817.6,2904.7,2904.7,2800.1,2833.21,-2.9985884945088963,-87.09999999999991
AJAXENGG,23-MAR-2026 12:00:00,12:11:41,1.28,0.28,-27750.72,27751,20827,457.05,476.0,476.0,451.2,457.66,-2.9617834394904436,-13.949999999999989
AKUMS,23-MAR-2026 12:00:00,12:11:41,2.99,0.63,-60838.37,60839,42314,472.0,482.9,483.0,470.1,476.26,-2.358295407529991,-11.399999999999977
AKZOINDIA,23-MAR-2026 12:00:00,12:11:41,2.6,0.09,-9303.91,9304,5009,2764.5,2844.0,2846.8,2743.2,2777.79,-4.180097743579076,-120.59999999999991
