Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
3MINDIA,18-MAR-2026 11:00:00,11:11:37,3.4,0.01,-939.99,940,465,33005.0,33150.0,33645.0,32915.0,33207.09,-0.3171247357293869,-105.0
AADHARHFC,18-MAR-2026 11:00:00,11:11:37,2.02,0.43,-34168.57,34169,20839,474.7,482.45,482.45,472.1,475.03,-1.2173551139319576,-5.850000000000023
AARTIDRUGS,18-MAR-2026 11:00:00,11:11:37,1.71,0.5,-47725.5,47726,32600,346.15,336.0,348.2,332.85,341.41,3.5912015561873414,12.0
AARTIIND,18-MAR-2026 11:00:00,11:11:37,5.73,1.34,-130826.66,130828,55147,429.5,424.95,431.6,422.75,428.25,1.0707142016707876,4.550000000000011
AARTIPHARM,18-MAR-2026 11:00:00,11:11:37,3.9,0.6,-53592.4,53593,35554,658.05,644.05,659.7,639.9,653.16,2.0944845240865724,13.5
AAVAS,18-MAR-2026 11:00:00,11:11:37,15.22,1.37,-129497.63,129499,69753,1108.2,1101.6,1121.4,1096.8,1110.09,0.5991285403050234,6.600000000000136
ABBOTINDIA,18-MAR-2026 11:00:00,11:11:37,4.66,0.02,-1515.98,1516,1078,26450.0,26500.0,26700.0,26370.0,26533.59,0.0,0.0
ABDL,18-MAR-2026 11:00:00,11:11:37,7.98,1.87,-181948.13,181950,85358,426.55,425.0,432.55,421.8,427.44,1.5474348291870015,6.5
ABFRL,18-MAR-2026 11:00:00,11:11:37,7.69,12.96,-1165758.04,1165771,744060,58.84,58.55,59.95,58.55,59.32,1.1170304175975352,0.6500000000000057
ABLBL,18-MAR-2026 11:00:00,11:11:38,3.86,3.94,-319350.06,319354,220411,97.77,97.74,98.82,96.52,97.8,0.4933703361085309,0.47999999999998977
ABREL,18-MAR-2026 11:00:00,11:11:38,14.42,1.24,-121862.76,121864,53623,1175.6,1129.9,1184.0,1117.2,1161.66,4.8706512042818835,54.59999999999991
ABSLAMC,18-MAR-2026 11:00:00,11:11:38,13.33,1.37,-129189.63,129191,58047,976.1,966.0,979.0,958.4,971.76,1.8680859945731556,17.899999999999977
ACC,18-MAR-2026 11:00:00,11:11:39,12.45,0.89,-84825.11,84826,54594,1397.2,1385.1,1407.9,1376.4,1396.79,0.880866425992783,12.200000000000045
ACE,18-MAR-2026 11:00:00,11:11:39,8.33,0.99,-90618.01,90619,41838,843.9,828.9,852.4,826.1,839.5,2.8018028992569133,23.0
ACI,18-MAR-2026 11:00:00,11:11:39,0.88,0.15,-15322.85,15323,8557,570.15,569.1,572.95,560.9,567.45,0.6798516687268272,3.8500000000000227
ACMESOLAR,18-MAR-2026 11:00:00,11:11:39,8.73,3.49,-340323.51,340327,141904,251.69,249.9,253.0,245.37,250.27,1.8946601352172003,4.680000000000007
ACUTAAS,18-MAR-2026 11:00:00,11:11:39,19.06,0.83,-78142.17,78143,37701,2295.6,2300.0,2320.2,2283.0,2302.86,-0.30400416920003476,-7.0
ADANIPOWER,18-MAR-2026 11:00:00,11:11:38,194.07,126.64,-12351642.36,12351769,5317305,152.82,156.0,156.5,151.3,153.25,-1.7866323907455022,-2.780000000000001
ADVENZYMES,18-MAR-2026 11:00:00,11:11:39,0.81,0.29,-25700.71,25701,20754,283.15,282.2,284.75,280.1,283.29,0.8728179551122154,2.4499999999999886
AEGISLOG,18-MAR-2026 11:00:00,11:11:40,16.32,2.65,-250210.35,250213,143787,614.15,624.4,625.6,611.0,615.47,-0.9195773170928524,-5.7000000000000455
AEGISVOPAK,18-MAR-2026 11:00:00,11:11:40,2.43,1.27,-114153.73,114155,71818,192.41,192.0,194.19,190.01,191.95,0.307580022938173,0.5900000000000034
AETHER,18-MAR-2026 11:00:00,11:11:40,5.42,0.53,-49730.47,49731,22673,1031.7,1005.9,1035.15,1005.1,1024.34,2.534287418008348,25.5
AFCONS,18-MAR-2026 11:00:00,11:11:40,2.88,1.01,-99087.99,99089,59385,285.95,282.0,287.0,280.4,285.07,1.9066286528866592,5.349999999999966
AFFLE,18-MAR-2026 11:00:00,11:11:40,17.53,1.34,-116430.66,116432,60468,1328.5,1294.2,1332.0,1287.8,1312.62,2.952572845629255,38.09999999999991
AGARWALEYE,18-MAR-2026 11:00:00,11:11:40,1.01,0.23,-22843.77,22844,12818,436.45,425.0,437.65,425.0,433.29,2.392961876832842,10.199999999999989
AGI,18-MAR-2026 11:00:00,11:11:40,3.67,0.7,-64923.3,64924,42941,521.4,511.0,530.0,509.0,521.82,2.0352250489236745,10.399999999999977
AHLUCONT,18-MAR-2026 11:00:00,11:11:40,3.29,0.45,-42070.55,42071,29484,734.3,726.0,738.0,718.9,728.11,1.6472868217054233,11.899999999999977
AIAENG,18-MAR-2026 11:00:00,11:11:41,7.69,0.21,-20003.79,20004,10165,3698.1,3758.4,3758.4,3666.0,3704.82,-1.0197526898988254,-38.09999999999991
AIIL,18-MAR-2026 11:00:00,11:11:41,8.69,1.78,-175217.22,175219,71939,488.15,476.5,494.8,473.85,489.66,2.134114447117897,10.199999999999989
AJANTPHARM,18-MAR-2026 11:00:00,11:11:41,10.71,0.35,-32856.65,32857,16305,3066.9,3049.9,3090.0,3029.3,3053.4,1.5328080513805264,46.30000000000018
AJAXENGG,18-MAR-2026 11:00:00,11:11:41,1.0,0.2,-19077.8,19078,10987,492.5,494.95,499.8,487.65,493.33,0.5409819332448662,2.6499999999999773
AKUMS,18-MAR-2026 11:00:00,11:11:41,1.72,0.36,-34826.64,34827,20389,478.55,463.0,479.45,463.0,474.13,3.169127950846176,14.699999999999989
AKZOINDIA,18-MAR-2026 11:00:00,11:11:41,1.89,0.06,-6078.94,6079,3316,2924.0,2915.8,2941.0,2883.7,2921.55,0.9738241591270052,28.199999999999818
