Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
3MINDIA,19-JAN-2026 11:00:00,11:49:48,1.16,0.0,-282.0,282,171,34890.0,34850.0,35195.0,34850.0,35008.55,-1.0212765957446808,-360.0
AADHARHFC,19-JAN-2026 11:00:00,11:49:49,5.14,1.09,-84493.91,84495,52261,472.75,471.0,476.25,470.25,472.45,-0.07398013105052267,-0.35000000000002274
AARTIDRUGS,19-JAN-2026 11:00:00,11:49:47,1.49,0.39,-31754.61,31755,20706,378.8,390.0,390.0,376.0,379.51,-1.6869971450817545,-6.5
AARTIIND,19-JAN-2026 11:00:00,11:49:47,5.17,1.47,-129108.53,129110,73362,350.9,354.0,354.3,350.1,351.7,-1.0434292160180614,-3.7000000000000455
AARTIPHARM,19-JAN-2026 11:00:00,11:49:48,6.3,0.8,-63384.2,63385,39521,787.0,796.1,797.35,784.9,789.34,-1.9864250576001052,-15.950000000000045
AAVAS,19-JAN-2026 11:00:00,11:49:48,4.84,0.34,-29488.66,29489,17016,1426.2,1425.0,1430.4,1420.0,1425.43,-0.6547784898300267,-9.399999999999864
ABBOTINDIA,19-JAN-2026 11:00:00,11:49:48,3.27,0.01,-1020.99,1021,579,27715.0,27725.0,27775.0,27600.0,27670.58,-0.14411817690506215,-40.0
ABDL,19-JAN-2026 11:00:00,11:49:48,10.22,2.21,-162446.79,162449,104153,459.25,473.0,475.9,457.0,462.05,-2.876176377286671,-13.600000000000023
ABFRL,19-JAN-2026 11:00:00,11:49:48,10.2,14.39,-1235177.61,1235192,772031,70.14,71.0,71.95,70.04,70.87,-1.6269284712482421,-1.1599999999999966
ABLBL,19-JAN-2026 11:00:00,11:49:49,3.13,2.7,-250387.3,250390,168566,115.5,115.88,116.44,114.58,115.78,-0.5253638790801821,-0.6099999999999994
ABREL,19-JAN-2026 11:00:00,11:49:49,6.65,0.44,-28332.56,28333,19221,1485.2,1525.0,1526.5,1480.5,1499.21,-2.909067137347192,-44.5
ABSLAMC,19-JAN-2026 11:00:00,11:49:49,2.55,0.31,-24852.69,24853,12434,824.55,825.0,829.9,823.55,826.5,-0.8894765310415399,-7.400000000000091
