Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
3MINDIA,03-FEB-2026 14:00:00,14:11:34,9.51,0.03,-2537.97,2538,1456,35275.0,35600.0,35650.0,34705.0,35107.7,2.2760220353725718,785.0
AADHARHFC,03-FEB-2026 14:00:00,14:11:34,30.31,6.37,-608102.63,608109,342719,475.85,485.0,495.0,472.2,475.67,-0.19924496644295064,-0.9499999999999886
AARTIDRUGS,03-FEB-2026 14:00:00,14:11:34,7.61,1.92,-189942.08,189944,94619,388.7,395.0,422.2,385.1,395.99,1.3427193325511608,5.149999999999977
AARTIIND,03-FEB-2026 14:00:00,14:11:34,532.16,125.37,-12337551.63,12337677,4988924,430.95,443.0,444.0,412.0,424.46,15.536193029490613,57.94999999999999
AARTIPHARM,03-FEB-2026 14:00:00,14:11:34,9.12,1.16,-113689.84,113691,39664,791.5,800.0,803.5,777.3,789.14,2.592352559948153,20.0
AAVAS,03-FEB-2026 13:00:00,14:11:34,55.64,3.89,-340383.11,340387,247333,1417.0,1459.9,1500.0,1411.0,1429.71,-2.1273656582400853,-30.799999999999955
ABBOTINDIA,03-FEB-2026 14:00:00,14:11:34,18.04,0.07,-6383.93,6384,3825,26995.0,27885.0,27910.0,26800.0,27263.98,-1.2076852698993596,-330.0
ABDL,03-FEB-2026 14:00:00,14:11:34,25.5,5.0,-495568.0,495573,297546,510.5,505.0,519.35,504.8,509.88,2.9337634842222022,14.550000000000011
ABFRL,03-FEB-2026 13:00:00,14:11:34,46.03,68.15,-5837417.85,5837486,2953271,65.72,69.9,69.9,65.4,67.55,2.639387786974852,1.6899999999999977
ABLBL,03-FEB-2026 14:00:00,14:11:35,95.8,80.85,-8046356.15,8046437,4343164,112.2,125.58,125.58,112.0,118.5,7.2145246058289505,7.549999999999997
ABREL,03-FEB-2026 14:00:00,14:11:35,75.27,6.07,-603429.93,603436,392448,1223.5,1269.7,1339.0,1211.0,1239.84,2.3506775974569103,28.09999999999991
ABSLAMC,03-FEB-2026 14:00:00,14:11:35,17.76,2.21,-212536.79,212539,94068,818.3,800.95,819.2,785.0,803.19,5.36277602523659,41.64999999999998
ACC,03-FEB-2026 14:00:00,14:11:35,34.32,2.05,-204237.95,204240,102901,1679.8,1667.7,1688.4,1654.1,1672.63,2.677261613691929,43.799999999999955
ACE,03-FEB-2026 14:00:00,14:11:35,24.17,2.73,-268795.27,268798,141796,871.75,919.0,919.0,854.65,883.63,-1.4582038094161507,-12.899999999999977
ACI,03-FEB-2026 14:00:00,14:11:35,5.5,0.95,-86440.05,86441,43453,586.0,580.0,587.6,566.8,576.14,2.474425111480279,14.149999999999977
ACMESOLAR,03-FEB-2026 14:00:00,14:11:35,58.82,27.51,-2728868.49,2728896,1030271,219.34,224.1,224.1,208.13,213.79,0.8645268095281871,1.8799999999999955
ACUTAAS,03-FEB-2026 14:00:00,14:11:35,106.71,5.42,-527680.58,527686,284807,1969.0,2060.6,2060.6,1927.0,1968.77,1.641544497212469,31.799999999999955
ADANIPOWER,03-FEB-2026 14:00:00,14:11:35,618.25,427.06,-42252071.94,42252499,15703813,145.56,145.0,149.04,140.6,144.77,8.142644873699858,10.960000000000008
