Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
360ONE,10-FEB-2026 EOD,10:11:04,21.53,1.89,-1057830.11,1057832,371129,1139.3,1163.1,1163.2,1127.0,1138.58,-1.9872677219545882,-23.100000000000136
ABB,10-FEB-2026 EOD,10:11:03,12.51,0.21,-155124.79,155125,77651,5838.0,5851.0,5861.0,5816.0,5834.42,-0.545144804088586,-32.0
ABCAPITAL,10-FEB-2026 EOD,10:11:04,44.15,12.66,-5675113.34,5675126,2788407,345.85,354.7,354.9,344.35,348.84,-2.2332155477031734,-7.899999999999977
ADANIENSOL,11-FEB-2026 10:00:00,10:11:04,23.88,2.34,-208793.66,208796,110794,1025.95,1014.0,1028.4,1009.85,1020.38,0.9048438652569506,9.200000000000045
ADANIENT,10-FEB-2026 EOD,10:11:03,31.65,1.42,-1670670.58,1670672,253600,2218.8,2232.9,2235.0,2216.1,2224.88,-0.4308023694130277,-9.599999999999909
ADANIGREEN,10-FEB-2026 EOD,10:11:04,42.16,4.28,-2057119.72,2057124,412021,984.6,977.0,990.0,975.05,985.03,0.6439742410303658,6.300000000000068
ADANIPORTS,10-FEB-2026 EOD,10:11:04,32.18,2.07,-1643363.93,1643366,563797,1544.6,1554.7,1559.4,1543.3,1550.87,-0.6496430179455931,-10.100000000000136
ALKEM,10-FEB-2026 EOD,10:11:04,10.0,0.17,-84504.83,84505,49877,5783.0,5840.0,5840.0,5745.0,5787.49,-0.4904069517336316,-28.5
AMBER,10-FEB-2026 EOD,10:11:04,121.56,1.61,-1658145.39,1658147,437529,7570.5,7441.0,7590.0,7420.5,7538.65,0.7988815658078691,60.0
AMBUJACEM,11-FEB-2026 10:00:00,10:11:05,9.32,1.74,-163635.26,163637,83133,536.6,540.8,540.8,535.3,536.78,-0.3528319405756689,-1.8999999999999773
