Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
360ONE,19-FEB-2026 13:00:00,14:11:03,47.7,4.31,-364050.69,364055,199429,1107.3,1122.6,1129.7,1089.4,1106.21,-1.7654364797728965,-19.90000000000009
ABB,19-FEB-2026 14:00:00,14:11:04,53.59,0.92,-89921.08,89922,36539,5751.5,5885.0,5908.0,5741.0,5839.14,-2.2103204964719887,-130.0
ABCAPITAL,19-FEB-2026 13:00:00,14:11:03,139.53,40.19,-3219846.81,3219887,1638787,347.25,350.0,350.95,343.05,347.16,-0.6579888427978863,-2.3000000000000114
ADANIENSOL,19-FEB-2026 13:00:00,14:11:03,70.89,6.96,-585526.04,585533,233862,1014.95,1035.0,1036.1,1008.0,1018.52,-2.003475910012552,-20.75
ADANIENT,19-FEB-2026 14:00:00,14:11:03,170.84,7.83,-772268.17,772276,307231,2166.6,2218.9,2218.9,2162.7,2181.24,-2.0170043415340047,-44.59999999999991
ADANIGREEN,19-FEB-2026 13:00:00,14:11:03,95.24,9.59,-837969.41,837979,304565,984.4,1000.1,1005.0,983.15,992.7,-1.5698430156984344,-15.700000000000045
ADANIPORTS,19-FEB-2026 13:00:00,14:11:03,98.07,6.38,-528977.62,528984,258303,1524.0,1550.0,1550.8,1522.7,1536.15,-1.7281403146762933,-26.799999999999955
ALKEM,19-FEB-2026 13:00:00,14:11:03,93.59,1.72,-164061.28,164063,135350,5414.0,5517.0,5517.0,5400.5,5446.7,-0.9150805270863837,-50.0
AMBER,19-FEB-2026 13:00:00,14:11:03,67.84,0.87,-69390.13,69391,26360,7764.0,7877.0,7916.0,7745.0,7837.14,-1.6468203699011907,-130.0
AMBUJACEM,19-FEB-2026 13:00:00,14:11:04,81.69,15.72,-975591.28,975607,668107,515.5,522.0,526.35,515.1,519.7,-1.4340344168260037,-7.5
ANGELONE,19-FEB-2026 14:00:00,14:12:20,160.51,6.3,-618333.7,618340,249224,2524.0,2609.0,2625.0,2506.7,2548.87,-2.6159425881626737,-67.80000000000018
APLAPOLLO,19-FEB-2026 13:00:00,14:11:05,41.22,1.86,-147337.14,147339,82584,2213.2,2250.0,2259.9,2205.1,2217.67,-1.3681536610366,-30.700000000000273
APOLLOHOSP,19-FEB-2026 14:00:00,14:11:05,73.17,0.96,-95111.04,95112,55338,7604.0,7610.0,7649.0,7587.5,7615.42,-0.5688133376920562,-43.5
ASHOKLEY,19-FEB-2026 13:00:00,14:11:05,120.63,58.33,-4268966.67,4269025,1872216,205.38,208.3,208.61,205.15,206.78,-1.4207545358548563,-2.960000000000008
ASIANPAINT,19-FEB-2026 13:00:00,14:11:05,119.44,4.96,-420085.04,420090,256864,2402.1,2420.0,2428.0,2395.1,2407.56,-1.2335019119279635,-30.0
ASTRAL,19-FEB-2026 14:00:00,14:11:05,54.01,3.3,-321583.7,321587,194145,1638.2,1630.0,1645.0,1620.5,1636.07,0.09776365636075623,1.6000000000001364
AUBANK,19-FEB-2026 13:00:00,14:11:05,165.75,16.12,-1408519.88,1408536,661491,1018.3,1023.5,1039.2,1016.65,1028.39,-0.3669096423854019,-3.75
AUROPHARMA,19-FEB-2026 13:00:00,14:11:05,255.48,21.47,-974732.53,974754,348061,1193.8,1156.4,1200.9,1156.4,1190.2,2.949292859606765,34.200000000000045
AXISBANK,19-FEB-2026 13:00:00,14:11:06,238.85,17.46,-1253447.54,1253465,798745,1357.8,1381.1,1382.8,1355.5,1368.3,-1.394335511982574,-19.200000000000045
BAJAJ-AUTO,19-FEB-2026 13:00:00,14:11:06,202.0,2.03,-168310.97,168313,80776,9825.0,9991.0,10059.5,9802.0,9929.21,-1.5531062124248496,-155.0
