Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
360ONE,09-MAR-2026 14:00:00,14:11:04,120.13,11.61,-1134931.39,1134943,728640,1026.8,1049.1,1058.0,1022.4,1034.62,-3.51437699680512,-37.40000000000009
ABB,09-MAR-2026 14:00:00,14:11:04,117.47,1.99,-196267.01,196269,76988,5911.5,5982.0,5982.5,5853.0,5915.31,-2.4826789838337184,-150.5
ABCAPITAL,09-MAR-2026 13:00:00,14:11:04,118.47,37.44,-3474213.56,3474251,1533421,319.4,314.95,321.0,308.0,316.41,-2.1895574950237435,-7.150000000000034
ADANIENSOL,09-MAR-2026 14:00:00,14:11:04,63.79,6.59,-645272.41,645279,285170,967.5,970.5,979.7,958.1,967.41,-2.518891687657431,-25.0
ADANIENT,09-MAR-2026 14:00:00,14:11:04,202.12,10.27,-1010566.73,1010577,351131,1980.9,1985.0,1992.9,1940.4,1967.3,-2.8922986420902985,-59.0
ADANIGREEN,09-MAR-2026 14:00:00,14:11:04,108.62,12.97,-1284484.03,1284497,397702,840.0,841.0,847.4,825.0,837.25,-2.143522833178003,-18.399999999999977
ADANIPORTS,09-MAR-2026 14:00:00,14:11:04,499.85,35.19,-3458323.81,3458359,1868793,1415.4,1405.0,1436.1,1405.0,1420.34,-4.203045685279181,-62.09999999999991
ALKEM,09-MAR-2026 13:00:00,14:11:04,16.04,0.29,-24437.71,24438,9429,5474.5,5500.0,5518.5,5421.0,5461.92,-1.003616636528029,-55.5
AMBER,09-MAR-2026 13:00:00,14:11:04,316.77,4.22,-351922.78,351927,115048,7332.0,7700.0,7769.5,7290.5,7497.5,-6.865671641791045,-540.5
AMBUJACEM,09-MAR-2026 13:00:00,14:11:05,148.94,33.23,-2890614.77,2890648,1731650,449.2,459.0,459.0,443.25,448.25,-3.7600428494911644,-17.55000000000001
ANGELONE,09-MAR-2026 14:00:00,14:11:06,143.65,67.5,-6582326.5,6582394,2896379,215.58,215.0,215.63,209.0,212.82,-1.8127163417744532,-3.9799999999999898
APLAPOLLO,09-MAR-2026 13:00:00,14:11:05,49.01,2.36,-202978.64,202981,103001,2081.0,2093.5,2140.4,2051.6,2080.15,-3.3351913786696477,-71.80000000000018
APOLLOHOSP,09-MAR-2026 13:00:00,14:11:06,190.94,2.5,-185729.5,185732,95799,7737.0,7588.0,7765.5,7556.0,7649.83,0.1618227717004337,12.5
ASHOKLEY,09-MAR-2026 14:00:00,14:11:06,336.38,181.41,-17926853.59,17927035,9409460,185.31,190.45,190.45,182.66,185.43,-4.808136846971791,-9.359999999999985
ASIANPAINT,09-MAR-2026 14:00:00,14:11:06,397.75,18.21,-1805745.79,1805764,920595,2220.9,2200.0,2224.6,2162.6,2184.47,-2.570739197192363,-58.59999999999991
ASTRAL,09-MAR-2026 13:00:00,14:11:06,60.82,3.75,-311000.25,311004,99339,1603.0,1677.0,1677.0,1595.2,1623.87,-5.103007340753022,-86.20000000000005
AUBANK,09-MAR-2026 14:00:00,14:11:06,181.91,19.64,-1936955.36,1936975,1033636,924.95,943.4,948.3,913.6,926.28,-4.075706507648427,-39.299999999999955
AUROPHARMA,09-MAR-2026 14:00:00,14:11:06,180.49,14.71,-1405502.29,1405517,900863,1248.2,1202.3,1250.1,1182.1,1226.76,1.3231593473496188,16.299999999999955
AXISBANK,09-MAR-2026 14:00:00,14:11:06,735.34,57.77,-5716931.23,5716989,3668528,1281.4,1282.2,1287.4,1260.8,1272.95,-2.61437908496731,-34.399999999999864
BAJAJ-AUTO,09-MAR-2026 14:00:00,14:11:07,225.0,2.38,-234628.62,234631,116911,9371.5,9600.0,9645.5,9354.5,9438.41,-4.528321108394458,-444.5
BAJAJFINSV,09-MAR-2026 14:00:00,14:11:07,127.98,7.03,-696372.97,696380,399868,1833.3,1839.1,1840.0,1802.0,1820.1,-1.9048638236395812,-35.600000000000136
BAJAJHLDNG,09-MAR-2026 13:00:00,14:11:07,41.82,0.41,-31069.59,31070,16294,10234.0,10481.0,10489.0,10200.0,10282.13,-3.0871212121212124,-326.0
BAJFINANCE,09-MAR-2026 14:00:00,14:11:07,678.8,73.49,-7257444.51,7257518,5153583,929.55,921.8,930.45,909.05,923.65,-2.17322668911809,-20.65000000000009
BANDHANBNK,09-MAR-2026 13:00:00,14:11:07,143.7,82.48,-7444008.52,7444091,2613445,172.73,178.0,178.0,172.17,174.22,-5.62749276074961,-10.300000000000011
BANKBARODA,09-MAR-2026 14:00:00,14:11:07,260.69,91.98,-9078343.02,9078435,4450044,286.55,285.15,288.6,277.05,283.42,-2.9795158286778434,-8.800000000000011
BANKINDIA,09-MAR-2026 14:00:00,14:11:07,150.87,100.42,-9823939.58,9824040,3384258,149.35,154.0,155.08,147.85,150.24,-6.410577766637434,-10.230000000000018
BDL,09-MAR-2026 14:00:00,14:11:07,207.05,15.73,-1556199.27,1556215,452739,1313.3,1357.0,1358.8,1298.0,1316.1,-3.198938601017181,-43.40000000000009
BEL,09-MAR-2026 14:00:00,14:11:07,768.26,168.91,-16605563.09,16605732,7192874,453.6,470.0,470.0,450.0,454.83,-3.1700288184437966,-14.849999999999966
BHARATFORG,09-MAR-2026 14:00:00,14:11:08,153.63,8.39,-824107.61,824116,300949,1827.5,1909.2,1909.2,1809.9,1830.7,-5.01065543947191,-96.40000000000009
BHARTIARTL,09-MAR-2026 13:00:00,14:11:08,1155.53,62.47,-4916103.53,4916166,3186788,1859.4,1831.0,1872.4,1818.1,1849.67,-0.6093649775497041,-11.399999999999864
BHEL,09-MAR-2026 13:00:00,14:11:08,138.88,55.34,-4871773.66,4871829,2010311,253.05,253.05,255.0,247.6,250.96,-2.27843212975477,-5.899999999999977
BIOCON,09-MAR-2026 13:00:00,14:11:08,80.9,21.09,-1773779.91,1773801,960703,386.65,384.95,387.85,379.4,383.56,-1.0366009726132612,-4.050000000000011
BLUESTARCO,09-MAR-2026 14:00:00,14:11:08,107.62,5.71,-560774.29,560780,253941,1863.1,1909.0,1918.3,1856.8,1883.31,-4.382858609186559,-85.40000000000009
BOSCHLTD,09-MAR-2026 13:00:00,14:11:09,47.39,0.15,-10716.85,10717,5352,31550.0,32850.0,32850.0,31505.0,32024.96,-5.354732263386831,-1785.0
BPCL,09-MAR-2026 13:00:00,14:11:09,823.15,248.39,-20910095.61,20910344,10873847,331.95,341.35,341.45,322.8,331.39,-5.896527285613043,-20.80000000000001
BRITANNIA,09-MAR-2026 13:00:00,14:11:09,113.23,1.93,-142408.07,142410,81422,5886.5,5930.0,5932.5,5815.5,5874.9,-1.6129032258064515,-96.5
BSE,09-MAR-2026 14:00:00,14:11:09,826.33,30.53,-2987877.47,2987908,997228,2738.7,2680.0,2747.5,2643.3,2706.65,-0.46881814217183065,-12.900000000000091
CAMS,09-MAR-2026 14:00:00,14:11:10,129.61,20.3,-1969345.7,1969366,1279834,641.0,633.5,647.95,625.75,638.39,-1.2098327810742115,-7.850000000000023
CANBK,09-MAR-2026 14:00:00,14:11:10,326.26,235.67,-23227543.33,23227779,10680988,138.4,140.15,141.01,136.3,138.44,-5.18599712269644,-7.569999999999993
CDSL,09-MAR-2026 14:00:00,14:11:10,193.9,16.27,-1612060.73,1612077,564535,1200.0,1199.0,1206.2,1175.0,1192.07,-1.9687933992320816,-24.09999999999991
CGPOWER,09-MAR-2026 14:00:00,14:11:10,150.41,21.73,-2116531.27,2116553,973219,694.9,704.9,704.9,684.2,692.16,-2.872318121462026,-20.550000000000068
