Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
3MINDIA,16-MAR-2026 12:00:00,12:11:38,9.82,0.03,-2827.97,2828,1128,32630.0,32985.0,32985.0,32005.0,32491.46,-1.076246778838866,-355.0
AADHARHFC,16-MAR-2026 12:00:00,12:11:38,8.07,1.74,-172649.26,172651,49634,463.5,457.95,474.85,451.25,464.6,0.8156606851549755,3.75
AARTIDRUGS,16-MAR-2026 12:00:00,12:11:38,3.06,0.9,-86680.1,86681,53068,338.7,349.0,349.0,336.7,340.78,-2.6024442846872784,-9.050000000000011
AARTIIND,16-MAR-2026 12:00:00,12:11:38,32.52,7.79,-726104.21,726112,330446,424.1,420.95,427.0,412.65,417.26,0.7961972667855075,3.3500000000000227
AARTIPHARM,16-MAR-2026 12:00:00,12:11:38,8.38,1.32,-131233.68,131235,69095,631.0,644.95,665.0,625.15,635.38,-3.0498578781593335,-19.850000000000023
AAVAS,16-MAR-2026 12:00:00,12:11:38,18.06,1.59,-155438.41,155440,98289,1130.1,1159.5,1164.3,1125.0,1133.44,-3.3937425200889084,-39.700000000000045
ABBOTINDIA,16-MAR-2026 12:00:00,12:11:38,15.37,0.06,-5627.94,5628,4048,26900.0,27045.0,27090.0,26635.0,26843.13,-0.22255192878338279,-60.0
ABDL,16-MAR-2026 12:00:00,12:11:38,7.06,1.59,-156860.41,156862,97508,440.5,444.2,450.2,437.85,444.94,-0.22650056625141565,-1.0
ABFRL,16-MAR-2026 11:00:00,12:11:38,14.13,24.19,-2028242.81,2028267,1085063,58.45,59.28,59.44,57.53,58.39,-1.4001349527665288,-0.8299999999999983
ABLBL,16-MAR-2026 12:00:00,12:11:40,7.52,7.82,-762127.18,762135,485392,95.79,97.41,98.0,94.72,96.21,-1.6731677273660392,-1.6299999999999955
ABREL,16-MAR-2026 12:00:00,12:11:40,10.07,0.9,-85846.1,85847,35409,1106.7,1140.0,1142.0,1100.6,1118.09,-2.4074074074074034,-27.299999999999955
ABSLAMC,16-MAR-2026 12:00:00,12:11:40,92.56,9.55,-915108.45,915118,277887,959.35,941.3,986.0,935.0,968.79,2.846269296741002,26.550000000000068
ACC,16-MAR-2026 12:00:00,12:11:40,19.54,1.42,-134597.58,134599,65044,1373.7,1377.0,1386.1,1361.8,1374.3,-0.19616390584132848,-2.7000000000000455
ACE,16-MAR-2026 12:00:00,12:11:40,11.76,1.44,-141654.56,141656,78824,815.35,839.95,839.95,810.15,818.21,-2.998036999583598,-25.199999999999932
ACI,16-MAR-2026 12:00:00,12:11:40,4.68,0.81,-79788.19,79789,42420,573.0,580.6,587.5,571.5,578.66,-3.2258064516129066,-19.100000000000023
