Stock,Date,Runtime,Tvalue,Tvol,qtyDiff,cur_trd_qty,cur_dly,LTP,Open,High,Low,VWAP,PrChgP,PrChg
3MINDIA,25-FEB-2026 10:00:00,10:11:35,1.11,0.0,-259.0,259,194,36250.0,36000.0,36370.0,36000.0,36260.01,1.0452961672473868,375.0
AADHARHFC,25-FEB-2026 10:00:00,10:11:35,10.05,2.28,-168359.72,168362,106170,438.75,452.0,452.0,434.2,440.22,-3.0065214988393993,-13.600000000000023
AARTIDRUGS,25-FEB-2026 10:00:00,10:11:35,0.19,0.05,-4736.95,4737,3567,372.0,369.85,372.45,369.85,370.89,0.6765899864682002,2.5
AARTIIND,25-FEB-2026 10:00:00,10:11:35,3.32,0.74,-66862.26,66863,34169,450.35,451.0,453.0,448.1,450.49,0.1222765673632751,0.5500000000000114
AARTIPHARM,25-FEB-2026 10:00:00,10:11:35,4.28,0.61,-45856.39,45857,31791,706.8,689.0,709.35,689.0,702.28,2.3013460703430275,15.899999999999977
AAVAS,25-FEB-2026 10:00:00,10:11:35,4.96,0.39,-28557.61,28558,18360,1265.0,1269.2,1273.2,1247.0,1258.79,-0.33091711314214034,-4.2000000000000455
ABBOTINDIA,25-FEB-2026 10:00:00,10:11:35,1.0,0.0,-250.0,250,193,26340.0,26485.0,26485.0,26320.0,26365.19,-0.09482268158543523,-25.0
ABDL,25-FEB-2026 10:00:00,10:11:36,1.49,0.3,-22248.7,22249,10924,498.35,502.0,503.0,495.0,498.32,0.5143202904396957,2.5500000000000114
ABFRL,25-FEB-2026 10:00:00,10:11:35,2.49,3.59,-329273.41,329277,186251,69.31,68.33,69.8,68.33,69.2,0.7412790697674494,0.5100000000000051
ABLBL,25-FEB-2026 10:00:00,10:11:36,1.32,1.26,-110456.74,110458,82885,105.02,104.51,105.8,104.37,104.96,0.5553427805438513,0.5799999999999983
ABREL,25-FEB-2026 10:00:00,10:11:36,1.99,0.16,-14495.84,14496,7061,1283.8,1267.8,1287.8,1263.7,1277.1,1.2620287111531787,16.0
ABSLAMC,25-FEB-2026 10:00:00,10:11:36,4.73,0.51,-47120.49,47121,28117,928.5,927.15,933.95,917.35,927.17,0.1456075068759125,1.3500000000000227
ACC,25-FEB-2026 10:00:00,10:11:36,2.61,0.16,-12223.84,12224,8368,1625.0,1620.2,1628.0,1618.0,1622.37,0.3643999752949226,5.900000000000091
ACE,25-FEB-2026 10:00:00,10:11:36,1.84,0.21,-19838.79,19839,13297,872.8,868.0,876.65,866.4,871.22,0.8376176997284964,7.25
ACI,25-FEB-2026 10:00:00,10:11:36,0.44,0.08,-7576.92,7577,4795,574.15,579.05,581.95,570.5,573.13,-0.1043932144410653,-0.6000000000000227
ACMESOLAR,25-FEB-2026 10:00:00,10:11:37,3.11,1.34,-128799.66,128801,59710,232.63,231.89,233.5,226.08,231.32,0.4447322970639038,1.0300000000000011
ACUTAAS,25-FEB-2026 10:00:00,10:11:37,14.39,0.67,-62223.33,62224,38934,2144.3,2178.2,2178.2,2128.9,2146.46,-0.3716953956232867,-8.0
ADANIPOWER,25-FEB-2026 10:00:00,10:11:37,31.83,22.03,-1952487.97,1952510,1064765,144.85,144.7,145.6,143.65,144.52,0.3741944425195704,0.539999999999992
ADVENZYMES,25-FEB-2026 10:00:00,10:11:38,0.59,0.19,-13498.81,13499,10054,311.1,308.5,312.45,307.0,309.21,0.8101101749837978,2.5
AEGISLOG,25-FEB-2026 10:00:00,10:11:38,31.14,4.35,-397376.65,397381,163326,721.2,710.0,724.0,704.6,716.79,3.1022158684774905,21.700000000000045
AEGISVOPAK,25-FEB-2026 10:00:00,10:11:38,5.45,2.37,-217977.63,217980,97551,231.71,225.0,233.8,224.52,230.38,1.7164179104477595,3.9099999999999966
AETHER,25-FEB-2026 10:00:00,10:11:38,1.77,0.18,-12980.82,12981,8203,967.4,979.0,979.0,960.5,967.75,0.24870466321243287,2.3999999999999773
