SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HiPr,LOW_PRICE,CLOSE_PRICE,AvgPr,Vol,Val_CR,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ADANIPORTS, EQ,1/24/25,1104,1104.15,1115,1088.25,1094.15,1100.77,2400140,264.2013,87932,1002660,41.78
ADANIPORTS, EQ,1/23/25,1102.25,1102.25,1114.25,1089.65,1104,1104.08,1968815,217.3733,92800,751350,38.16
ADANIPORTS, EQ,1/22/25,1106.2,1115.5,1118.05,1080.45,1102.25,1094.8,1906032,208.6727,89487,698692,36.66
ADANIPORTS, EQ,1/21/25,1148.7,1150,1154.25,1104,1106.2,1120.27,3134022,351.0961,124723,1207290,38.52
ADANIPORTS, EQ,1/20/25,1163.5,1172,1172,1146.5,1148.7,1154.7,1312101,151.5088,59777,418609,31.9
ADANIPORTS, EQ,1/17/25,1150.75,1163,1173.65,1145.5,1163.5,1161.24,2464355,286.1717,86450,737800,29.94
ADANIPORTS, EQ,1/16/25,1128.9,1179.95,1190,1145.4,1150.75,1160.96,3997547,464.1004,156319,1379980,34.52
ADANIPORTS, EQ,1/15/25,1117.1,1125,1141.95,1118.5,1128.9,1128.05,3135942,353.7503,114597,1316893,41.99
ADANIPORTS, EQ,1/14/25,1066.65,1078.85,1131.4,1075.05,1117.1,1114.2,6277854,699.4754,221123,1936382,30.84
ADANIPORTS, EQ,1/13/25,1112.2,1100.9,1106.45,1058.95,1066.65,1081.84,2273302,245.9355,111848,921112,40.52
ADANIPORTS, EQ,1/10/25,1132.35,1134.9,1137.4,1106.3,1112.2,1120.34,1902237,213.1153,95968,626568,32.94
ADANIPORTS, EQ,1/9/25,1152.3,1156.7,1156.7,1129.95,1132.35,1137.76,1884725,214.4359,91973,744361,39.49
ADANIPORTS, EQ,1/8/25,1174,1183.55,1183.55,1141.1,1152.3,1153.17,2900996,334.5335,112291,1215843,41.91
ADANIPORTS, EQ,1/7/25,1163.05,1163.05,1182.15,1162.05,1174,1175.91,2010913,236.4653,68259,820078,40.78
ADANIPORTS, EQ,1/6/25,1199.55,1199.55,1200.9,1158.05,1163.05,1174.92,2298522,270.0585,108068,955195,41.56
ADANIPORTS, EQ,1/3/25,1226,1234.5,1237.6,1197,1199.55,1213.11,3040564,368.8532,99733,1081374,35.56
ADANIPORTS, EQ,1/2/25,1218.7,1223.8,1228.4,1208.1,1226,1219.38,3772207,459.9744,96732,2261182,59.94
ADANIPORTS, EQ,1/1/25,1231.1,1223,1231.8,1206.35,1218.7,1219.35,1937930,236.3014,68696,486715,25.12
ADANIPORTS, EQ,12/31/24,1218.5,1222,1236.8,1208.15,1231.1,1224.39,1717204,210.2536,64030,636199,37.05
ADANIPORTS, EQ,12/30/24,1230.7,1233.75,1258.8,1212,1218.5,1227.73,8312636,1020.5675,135478,5045942,60.7
ADANIPORTS, EQ,12/27/24,1243.95,1248.45,1250.95,1225.75,1230.7,1238.76,2595142,321.4769,82963,1088474,41.94
ADANIPORTS, EQ,12/26/24,1182.2,1187,1249,1182.55,1243.95,1224.24,3827047,468.5237,132311,973696,25.44
