,StockName,scID,sector
161,Sheela Foam,SF30,FMCG
162,Trident,AI01,Textiles
163,IRFC,IRF,Finance
164,Coal India,CI29,Metals & Mining
165,Latent View,LVA,Software & IT Services
166,Vinati Organics,VO01,Chemicals
167,Gopal Snacks,GSL10,FMCG
168,HINDWAREAP,SHIL54290,Consumer Durables
169,Guj State Petro,GSP02,Diversified
170,Gabriel India,GI02,Automobile & Ancillaries
171,Kirloskar Pneum,KGK,Capital Goods
172,Symphony,SCS04,Consumer Durables
173,Indian Metals,IMF01,Metals & Mining
174,Hind Zinc,HZ,Metals & Mining
175,Ion Exchange,IEI,Capital Goods
176,KPIT Tech,KPITT54265,Software & IT Services
177,Muthoot Micro,MML07,Finance
178,MTAR Tech,MT14,Aviation
179,Finolex Ind,FI,Plastic Products
180,Swan Energy,SM09,Textiles
181,Kajaria Ceramic,KC06,Construction Materials
182,LIC India,LIC09,Insurance
183,ZFCVINDIA,WAB,Automobile & Ancillaries
184,Sundram,SF,Trading
185,Stylam Ind,GL02,Construction Materials
186,Emami,E05,FMCG
187,Mishra Dhatu,MDN,Metals & Mining
188,Safari Ind,SII01,FMCG
189,RamkrishnaForge,RF16,Automobile & Ancillaries
190,HOEC,HOE01,Oil & Gas
191,ACC,ACC,Construction Materials
192,CenturyPlyboard,CP9,Construction Materials
193,KEI Industries,KEI,Electricals
194,Escorts Kubota,E,Automobile & Ancillaries
195,Texmaco Rail,TRE,Manufacturing
196,Adani Energy,AT18,Power
197,Affle India,AI72,Software & IT Services
198,PB Fintech,PF15,Insurance
199,GAIL,GAI,Industrial Gases & Fuels
200,Edelweiss,EC06,Finance
201,Larsen,LT,Infrastructure
202,Reliance,RI,Oil & Gas
203,LMW,LMW,Textiles
204,Vedanta,SG,Metals & Mining
205,Fine Organics,FOI,Chemicals
206,Adani Ports,MPS,Infrastructure
207,Ircon Internati,II21,Infrastructure
208,Nuvoco Vistas,NVC,Construction Materials
209,Eicher Motors,EM,Automobile & Ancillaries
210,EIH,EIH,Hospitality
211,Emcure Pharmace,EPL,Healthcare
212,NHPC,N07,Power
213,TBO Tek,TTL03,Hospitality
214,KPIL,KPT,Infrastructure
215,Lloyds Metals,LME,Metals & Mining
216,Ashoka Buildcon,AB,Infrastructure
217,Blue Jet,BJH,Healthcare
218,J Kumar Infra,KI19,Infrastructure
219,AMI Organics,AO05,Chemicals
220,Inox India,IIL04,Miscellaneous
221,HG Infra Engg,HIE,Infrastructure
222,UPL,SI10,Chemicals
223,Gulf Oil Lubric,GOL01,Automobile & Ancillaries
224,Prestige Estate,PEP02,Real Estate
225,Grindwell Norto,GN,Manufacturing
226,Metro Brands,MB05,Footwear
227,City Union Bank,CUB,Banks
228,Deepak Nitrite,DN,Chemicals
229,Go Fashion,GFI04,Retailing
230,Neuland Lab,NL,Healthcare
231,JM Financial,JMS,Finance
232,Vesuvius India,VI06,Capital Goods
233,eClerx Services,ES07,Software & IT Services
234,Archean Chem,ACI14,Chemicals
235,Federal Bank,FB,Banks
236,RITES,R06,Infrastructure
237,Cyient DLM,CD06,Capital Goods
238,Patanjali Foods,RSI,Agri
239,Valor Estate,DR,Real Estate
240,Gujarat Gas,GGC,Industrial Gases & Fuels
241,ABB India,ABB,Capital Goods
242,Ambuja Cements,GAC,Construction Materials
243,CIEINDIA,MAS,Automobile & Ancillaries
244,APTUS VALUE,AVH,Finance
245,Mah Seamless,MS02,Metals & Mining
246,Prince Pipes,PPF,Plastic Products
247,SBI,SBI,Banks
248,Sobha,SD6,Real Estate
249,Honeywell Autom,TH,Consumer Durables
250,Manappuram Fin,MGF01,Finance
251,SJVN,S14,Power
252,Bombay Burmah,BBT,Agri
253,Deepak Fert,DFP,Chemicals
254,Lemon Tree,LTH,Hospitality
255,Garware HiTech,GP,Plastic Products
256,Sunflag Iron,SIS05,Metals & Mining
257,TVS Motor,TVS,Automobile & Ancillaries
258,V-Mart Retail,VR03,Retailing
259,Kirloskar Oil,KOE03,Capital Goods
260,HCL Tech,HCL02,Software & IT Services
261,Aegis Logistics,AC02,Logistics
262,Ingersoll Rand,IRI01,Capital Goods
263,Shree Cements,SC12,Construction Materials
264,VST,VST,FMCG
265,TARC,ARG,Real Estate
266,Motherson SWI,MSW,Automobile & Ancillaries
267,Sarda Energy,RAS,Metals & Mining
268,SUMITOMO,SUMIC54292,Chemicals
269,BLS Internation,BLS,Hospitality
270,Dabur India,DI,FMCG
271,Nuvama Wealth,NWML,Finance
272,IEX,IEE,Power
273,MRPL,MRP,Oil & Gas
274,Imagicaaworld,AE16,Hospitality
275,Rain Industries,PC13,Chemicals
276,Sterlite Techno,SO03,Electricals
277,Anand Rathi,ARW,Finance
278,ESAF SFB,ESF02,Banks
279,REC,REC02,Finance
280,UTKARSHBNK,USF01,Banks
281,Tata Elxsi,TEI,Software & IT Services
282,Dilip Buildcon,DB03,Real Estate
283,Infosys,IT,Software & IT Services
284,Bharti Airtel,BTV,Telecom
285,Dalmia Bharat,OCL,Construction Materials
286,Poonawalla Fin,ML07,Finance
287,Sula Vineyards,SV05,Alcohol
288,ITD Cementation,THC,Infrastructure
289,Force Motors,BT,Automobile & Ancillaries
290,Ratnamani Metal,RMT,Metals & Mining
291,Apollo Tyres,AT,Automobile & Ancillaries
292,Mahindra Logist,ML12,Logistics
293,Berger Paints,BPI02,Chemicals
294,Ceat,C07,Automobile & Ancillaries
295,Intellect Desig,IDA,Software & IT Services
296,UNO Minda,MI44,Automobile & Ancillaries
297,M&M Financial,MMF04,Finance
298,NMDC Steel,NS16,Metals & Mining
299,TCS,TCS,Software & IT Services
300,UltraTechCement,UTC,Construction Materials
301,Can Fin Homes,CFH,Finance
302,Gateway Distri,GD01,Logistics
303,GE Vernova T&D,GEC,Capital Goods
