,StockName,scID,sector
691,EPL,EP,Plastic Products
692,Jupiter Life,JLLHL,Healthcare
693,Hind Copper,HC07,Metals & Mining
694,Axis Bank,UTI10,Banks
695,Sanghvi Movers,SM10,Infrastructure
696,Route,RML02,Software & IT Services
697,Bajaj Finserv,BF04,Finance
698,Sindhu Trade,BCF03,Finance
699,SignatureGlobal,SIL22,Real Estate
700,Pfizer,P,Healthcare
701,LE Travenues Te,LTT,Hospitality
702,Ahluwalia,ACI12,Real Estate
703,Campus Active,CA08,Footwear
704,Glenmark,GP08,Healthcare
705,Orchid Pharma,OCP,Healthcare
706,Kaveri Seed,KSC01,Agri
707,Bata India,BI01,Footwear
708,Mankind Pharma,MP21,Healthcare
709,NOCIL,NOC,Chemicals
710,HINDPETRO,HPC,Oil & Gas
711,Spandana Sphoor,SSF07,Finance
712,Dish TV,DTV,Telecom
713,Bharat Bijlee,BB,Capital Goods
714,Natco Pharma,NP01,Healthcare
715,Bharti Hexacom,BHL03,Telecom
716,M&M,MM,Automobile & Ancillaries
717,Hind Constr,HCC,Infrastructure
718,Dynamatic Tech,DT05,Capital Goods
719,Craftsman,CA07,Capital Goods
720,Concord Biotech,CB09,Healthcare
721,Sansera Eng,SE30,Automobile & Ancillaries
722,Bank of Mah,BM05,Banks
723,Netweb,NTI03,Consumer Durables
724,Inox Green,IGE02,Capital Goods
725,Motilal Oswal,MOF01,Finance
726,Entero Health,EHSL,Healthcare
727,Avalon Tech,AT23,Electricals
728,Capri Global,DSL01,Finance
729,IFCI,IFC,Finance
730,Neogen,NC12,Chemicals
731,Techno Electric,TEE,Infrastructure
732,Man Infra,MI37,Infrastructure
733,IFB Industries,IFB02,Consumer Durables
734,AstraZeneca,AID,Healthcare
735,Max Healthcare,MHI,Healthcare
736,Caplin Labs,CPL,Healthcare
737,CG Power ,CG,Capital Goods
738,ITI,ITI,Telecom
739,IDBI Bank,IDB,Banks
740,Olectra Greente,GT06,Electricals
741,Hitachi Energy,APP03,Capital Goods
742,CreditAccess Gr,CG02,Finance
743,UCO Bank,UCO,Banks
744,VIP Industries,VIP,FMCG
745,Kalyan Jeweller,KJI01,Diamond  &  Jewellery
746,Network 18,NF07,Media & Entertainment
747,Surya Roshni,SR01,Diversified
748,IOB,IOB,Banks
749,Central Bank,CBO01,Banks
