Stock|  | Issued Shares|  | Total Market Cap|  | FreeFloatMarketCap
SBIN| "Issued Capital (Shares)"| "8,92,46,11,934"| Total Market Cap (₹ Lakhs)| 5,27,66,768.06| Free Float Market Cap (₹ Lakhs)| 2,26,89,710.27
SAIL| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
SUNPHARMA| "Issued Capital (Shares)"| "2,39,93,34,970"| Total Market Cap (₹ Lakhs)| 2,73,09,230.63| Free Float Market Cap (₹ Lakhs)| 1,22,89,153.78
SUNTV| "Issued Capital (Shares)"| "39,40,84,620"| Total Market Cap (₹ Lakhs)| 24,25,393.79| Free Float Market Cap (₹ Lakhs)| 5,09,332.70
SYNGENE| "Issued Capital (Shares)"| "40,20,15,000"| Total Market Cap (₹ Lakhs)| 33,76,523.99| Free Float Market Cap (₹ Lakhs)| 14,85,670.55
TATACHEM| "Issued Capital (Shares)"| "25,47,56,278"| Total Market Cap (₹ Lakhs)| 27,64,105.62| Free Float Market Cap (₹ Lakhs)| 16,86,104.43
TATACOMM| "Issued Capital (Shares)"| "28,50,00,000"| Total Market Cap (₹ Lakhs)| 55,11,900.00| Free Float Market Cap (₹ Lakhs)| 22,59,879.00
TCS| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
TATACONSUM| "Issued Capital (Shares)"| "92,90,11,650"| Total Market Cap (₹ Lakhs)| 80,17,370.54| Free Float Market Cap (₹ Lakhs)| 51,31,117.15
TATAMOTORS| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
TATAPOWER| "Issued Capital (Shares)"| "3,19,53,39,547"| Total Market Cap (₹ Lakhs)| 86,91,323.57| Free Float Market Cap (₹ Lakhs)| 39,11,095.61
TATASTEEL| "Issued Capital (Shares)"| "12,22,15,32,630"| Total Market Cap (₹ Lakhs)| 1,60,22,429.28| Free Float Market Cap (₹ Lakhs)| 1,05,74,803.32
TECHM| "Issued Capital (Shares)"| "97,49,42,954"| Total Market Cap (₹ Lakhs)| 1,23,33,028.37| Free Float Market Cap (₹ Lakhs)| 78,93,138.16
FEDERALBNK| "Issued Capital (Shares)"| "2,35,09,79,693"| Total Market Cap (₹ Lakhs)| 35,02,959.74| Free Float Market Cap (₹ Lakhs)| 35,02,959.74
INDIACEM| "Issued Capital (Shares)"| "30,98,97,201"| Total Market Cap (₹ Lakhs)| 7,74,123.21| Free Float Market Cap (₹ Lakhs)| 2,94,166.82
INDHOTEL| "Issued Capital (Shares)"| "1,42,04,00,342"| Total Market Cap (₹ Lakhs)| 61,15,533.67| Free Float Market Cap (₹ Lakhs)| 37,91,630.88
RAMCOCEM| "Issued Capital (Shares)"| "23,62,92,380"| Total Market Cap (₹ Lakhs)| 21,31,357.27| Free Float Market Cap (₹ Lakhs)| 11,50,932.92
TITAN| "Issued Capital (Shares)"| "88,77,86,160"| Total Market Cap (₹ Lakhs)| 2,84,80,180.01| Free Float Market Cap (₹ Lakhs)| 1,33,85,684.61
TORNTPHARM| "Issued Capital (Shares)"| "33,84,45,440"| Total Market Cap (₹ Lakhs)| 63,29,098.95| Free Float Market Cap (₹ Lakhs)| 17,08,856.72
TORNTPOWER| "Issued Capital (Shares)"| "48,06,16,784"| Total Market Cap (₹ Lakhs)| 34,53,231.59| Free Float Market Cap (₹ Lakhs)| 12,08,631.06
TRENT| "Issued Capital (Shares)"| "35,54,87,461"| Total Market Cap (₹ Lakhs)| 74,21,511.72| Free Float Market Cap (₹ Lakhs)| 46,01,337.27
TVSMOTOR| "Issued Capital (Shares)"| "47,50,87,114"| Total Market Cap (₹ Lakhs)| 70,78,798.00| Free Float Market Cap (₹ Lakhs)| 34,68,611.02
ULTRACEMCO| "Issued Capital (Shares)"| "28,86,86,345"| Total Market Cap (₹ Lakhs)| 2,44,48,846.56| Free Float Market Cap (₹ Lakhs)| 97,79,538.62
UBL| "Issued Capital (Shares)"| "26,44,05,149"| Total Market Cap (₹ Lakhs)| 43,83,837.37| Free Float Market Cap (₹ Lakhs)| 11,83,636.09
MCDOWELL-N| "Issued Capital (Shares)"| "72,73,50,853"| Total Market Cap (₹ Lakhs)| 77,50,650.69| Free Float Market Cap (₹ Lakhs)| 31,00,260.28
UPL| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
VEDL| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
IDEA| "Issued Capital (Shares)"| "48,67,96,89,205"| Total Market Cap (₹ Lakhs)| 54,52,125.19| Free Float Market Cap (₹ Lakhs)| 8,72,340.03
VOLTAS| Total Market Cap (₹ Lakhs)| 30,04,433.44| Free Float Market Cap (₹ Lakhs)| 20,73,059.07
WHIRLPOOL| "Issued Capital (Shares)"| "12,68,71,830"| Total Market Cap (₹ Lakhs)| 21,47,940.08| Free Float Market Cap (₹ Lakhs)| 5,36,985.02
WIPRO| "Issued Capital (Shares)"| "5,22,11,96,534"| Total Market Cap (₹ Lakhs)| 2,26,80,877.74| Free Float Market Cap (₹ Lakhs)| 61,23,836.99
ZEEL| "Issued Capital (Shares)"| "96,05,19,420"| Total Market Cap (₹ Lakhs)| 26,87,053.08| Free Float Market Cap (₹ Lakhs)| 25,79,570.95
ZYDUSLIFE| "Issued Capital (Shares)"| "1,01,22,04,139"| Total Market Cap (₹ Lakhs)| 63,57,654.20| Free Float Market Cap (₹ Lakhs)| 15,89,413.55
