Stock|  | Issued Shares|  | Total Market Cap|  | FreeFloatMarketCap
BANKBARODA| "Issued Capital (Shares)"| "5,17,13,62,179"| Total Market Cap (₹ Lakhs)| 1,04,92,693.86| Free Float Market Cap (₹ Lakhs)| 37,77,369.79
BATAINDIA| Total Market Cap (₹ Lakhs)| 22,07,460.50| Free Float Market Cap (₹ Lakhs)| 11,03,730.25
BERGEPAINT| "Issued Capital (Shares)"| "97,14,22,485"| Total Market Cap (₹ Lakhs)| 70,13,670.34| Free Float Market Cap (₹ Lakhs)| 16,83,280.88
BEL| "Issued Capital (Shares)"| "7,30,97,78,829"| Total Market Cap (₹ Lakhs)| 1,05,69,940.19| Free Float Market Cap (₹ Lakhs)| 51,79,270.69
BHARATFORG| "Issued Capital (Shares)"| "46,55,88,632"| Total Market Cap (₹ Lakhs)| 51,86,657.36| Free Float Market Cap (₹ Lakhs)| 28,52,661.55
BHEL| "Issued Capital (Shares)"| "3,48,20,63,355"| Total Market Cap (₹ Lakhs)| 48,74,888.70| Free Float Market Cap (₹ Lakhs)| 18,03,708.82
BPCL| "Issued Capital (Shares)"| "2,16,92,52,744"| Total Market Cap (₹ Lakhs)| 78,78,725.97| Free Float Market Cap (₹ Lakhs)| 34,66,639.43
BHARTIARTL| "Issued Capital (Shares)"| "5,59,26,48,369"| Total Market Cap (₹ Lakhs)| 4,96,06,791.03| Free Float Market Cap (₹ Lakhs)| 2,23,23,055.96
BIOCON| Total Market Cap (₹ Lakhs)| 33,12,455.40| Free Float Market Cap (₹ Lakhs)| 12,25,608.50
BSOFT| "Issued Capital (Shares)"| "27,53,81,945"| Total Market Cap (₹ Lakhs)| 14,01,694.10| Free Float Market Cap (₹ Lakhs)| 8,26,999.52
BOSCHLTD| Total Market Cap (₹ Lakhs)| 57,42,411.71| Free Float Market Cap (₹ Lakhs)| 16,65,299.40
BRITANNIA| "Issued Capital (Shares)"| "24,08,68,296"| Total Market Cap (₹ Lakhs)| 1,10,05,272.44| Free Float Market Cap (₹ Lakhs)| 53,92,583.50
CANFINHOME| Total Market Cap (₹ Lakhs)| 10,48,721.89| Free Float Market Cap (₹ Lakhs)| 6,60,694.79
CANBK| "Issued Capital (Shares)"| "1,81,41,30,252"| Total Market Cap (₹ Lakhs)| 65,30,868.91| Free Float Market Cap (₹ Lakhs)| 24,16,421.50
CHAMBLFERT| "Issued Capital (Shares)"| "41,62,07,852"| Total Market Cap (₹ Lakhs)| 11,80,781.68| Free Float Market Cap (₹ Lakhs)| 4,48,697.04
CHOLAFIN| "Issued Capital (Shares)"| "82,24,05,157"| Total Market Cap (₹ Lakhs)| 97,04,380.85| Free Float Market Cap (₹ Lakhs)| 46,58,102.81
CIPLA| "Issued Capital (Shares)"| "80,73,10,290"| Total Market Cap (₹ Lakhs)| 1,00,74,425.11| Free Float Market Cap (₹ Lakhs)| 65,48,376.32
CUB| "Issued Capital (Shares)"| "74,04,16,385"| Total Market Cap (₹ Lakhs)| 10,02,893.99| Free Float Market Cap (₹ Lakhs)| 9,72,807.17
COALINDIA| "Issued Capital (Shares)"| "6,16,27,28,327"| Total Market Cap (₹ Lakhs)| 1,71,84,767.94| Free Float Market Cap (₹ Lakhs)| 63,58,364.14
COFORGE| "Issued Capital (Shares)"| "6,11,21,503"| Total Market Cap (₹ Lakhs)| 33,70,545.28| Free Float Market Cap (₹ Lakhs)| 23,25,676.25
COLPAL| Total Market Cap (₹ Lakhs)| 54,74,798.83| Free Float Market Cap (₹ Lakhs)| 26,82,651.43
CONCOR| "Issued Capital (Shares)"| "60,92,94,348"| Total Market Cap (₹ Lakhs)| 44,72,220.51| Free Float Market Cap (₹ Lakhs)| 20,12,499.23
COROMANDEL| "Issued Capital (Shares)"| "29,43,60,519"| Total Market Cap (₹ Lakhs)| 33,08,612.23| Free Float Market Cap (₹ Lakhs)| 13,23,444.89
CROMPTON| "Issued Capital (Shares)"| "64,00,97,744"| Total Market Cap (₹ Lakhs)| 20,26,229.41| Free Float Market Cap (₹ Lakhs)| 20,26,229.41
CUMMINSIND| Total Market Cap (₹ Lakhs)| 48,96,183.60| Free Float Market Cap (₹ Lakhs)| 23,99,129.96
DABUR| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
DALBHARAT| "Issued Capital (Shares)"| "18,75,30,361"| Total Market Cap (₹ Lakhs)| 44,29,092.07| Free Float Market Cap (₹ Lakhs)| 18,60,218.67
DEEPAKNTR| "Issued Capital (Shares)"| "13,63,93,041"| Total Market Cap (₹ Lakhs)| 31,83,549.97| Free Float Market Cap (₹ Lakhs)| 15,91,774.98
DELTACORP| Total Market Cap (₹ Lakhs)| 4,95,376.53| Free Float Market Cap (₹ Lakhs)| 3,26,948.51
DIVISLAB| Total Market Cap (₹ Lakhs)| 98,81,006.02| Free Float Market Cap (₹ Lakhs)| 47,42,882.89
DIXON| Total Market Cap (₹ Lakhs)| 30,73,900.12| Free Float Market Cap (₹ Lakhs)| 19,05,818.07
DLF| Total Market Cap (₹ Lakhs)| 1,33,79,077.77| Free Float Market Cap (₹ Lakhs)| 33,44,769.44
LALPATHLAB| "Issued Capital (Shares)"| "8,34,69,852"| Total Market Cap (₹ Lakhs)| 18,52,655.10| Free Float Market Cap (₹ Lakhs)| 7,59,588.59
DRREDDY| "Issued Capital (Shares)"| "16,67,71,481"| Total Market Cap (₹ Lakhs)| 93,55,880.08| Free Float Market Cap (₹ Lakhs)| 68,29,792.46
EICHERMOT| "Issued Capital (Shares)"| "27,37,49,460"| Total Market Cap (₹ Lakhs)| 93,19,800.37| Free Float Market Cap (₹ Lakhs)| 46,59,900.18
ESCORTS| Total Market Cap (₹ Lakhs)| 35,21,855.82| Free Float Market Cap (₹ Lakhs)| 10,56,556.75
EXIDEIND| "Issued Capital (Shares)"| "85,00,00,000"| Total Market Cap (₹ Lakhs)| 23,60,450.00| Free Float Market Cap (₹ Lakhs)| 12,51,038.50
FSL| Total Market Cap (₹ Lakhs)| 11,91,854.31| Free Float Market Cap (₹ Lakhs)| 5,24,415.90
GAIL| Total Market Cap (₹ Lakhs)| 84,39,140.39| Free Float Market Cap (₹ Lakhs)| 34,60,047.56
GLENMARK| "Issued Capital (Shares)"| "28,21,68,156"| Total Market Cap (₹ Lakhs)| 22,87,678.32| Free Float Market Cap (₹ Lakhs)| 12,12,469.51
GMRINFRA| "Issued Capital (Shares)"| "6,03,59,45,275"| Total Market Cap (₹ Lakhs)| 38,87,148.76| Free Float Market Cap (₹ Lakhs)| 15,93,730.99
GODREJCP| "Issued Capital (Shares)"| "1,02,27,58,404"| Total Market Cap (₹ Lakhs)| 1,05,74,299.14| Free Float Market Cap (₹ Lakhs)| 39,12,490.68
GODREJPROP| "Issued Capital (Shares)"| "27,80,29,098"| Total Market Cap (₹ Lakhs)| 46,82,010.01| Free Float Market Cap (₹ Lakhs)| 19,19,624.10
GRANULES| "Issued Capital (Shares)"| "24,20,42,756"| Total Market Cap (₹ Lakhs)| 7,60,014.25| Free Float Market Cap (₹ Lakhs)| 4,25,607.98
