NAME OF COMPANY,TOTAL NO. OF ISSUED SHARES A+B+C,TOTAL PROMOTER HOLDING NO. OF SHARES (A),TOTAL PROMOTER HOLDING % A /(A+B+C),TOTAL PUBLIC HOLDING B,PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X),PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A),PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)],PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP,DISCLOSURE MADE BY PROMOTERS,NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED,NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES,(%) PLEDGE / DEMAT,Values(Rs. Cr.),BROADCAST DATE
UCO Bank,11955958176,11404910524,95.39,551047652,0,0,0,,10/7/24 11:30,59784967,11946016466,0.5,,10/7/24 11:30
UFLEX Limited,72211486,32190949,44.58,40020537,1360000,4.22,1.88,,10/7/24 11:30,3586652,71947194,4.99,,10/7/24 11:30
UFO Moviez India Limited,38596759,8668540,22.46,29928219,2266417,26.15,5.87,,10/7/24 11:30,4849850,38590599,12.57,,10/7/24 11:30
UNO Minda Limited,574163845,394754841,68.75,179409004,0,0,0,,10/7/24 11:30,3198430,572817771,0.56,,10/7/24 11:30
UPL Limited,750607641,244113166,32.52,506494475,0,0,0,,10/7/24 11:30,20108231,747152265,2.69,,10/7/24 11:30
UltraTech Cement Limited,288697318,173685083,60.16,115012235,0,0,0,,10/7/24 11:30,886925,287523680,0.31,,10/7/24 11:30
Uma Exports Limited,33809830,24516300,72.51,9293530,0,0,0,,10/7/24 11:30,676578,33759830,2,,10/7/24 11:30
Unichem Laboratories Limited,70405750,49440586,70.22,20965164,0,0,0,,10/7/24 11:30,546425,68869296,0.79,,10/7/24 11:30
Union Bank of India,7633605607,5706660850,74.76,1926944757,0,0,0,,10/7/24 11:30,107951634,7618667044,1.42,,10/7/24 11:30
Uniparts India Limited,45133758,30007936,66.49,15125822,0,0,0,,10/7/24 11:30,1376160,45133758,3.05,,10/7/24 11:30
Uniphos Enterprises Limited,69545849,51309095,73.78,18236754,0,0,0,,10/7/24 11:30,636872,69187168,0.92,,10/7/24 11:30
Uniply Industries Limited,167647400,24215460,14.44,143431940,3218475,13.29,1.92,,10/7/24 11:30,5331819,165209465,3.23,,10/7/24 11:30
Unitech Limited,2616301047,134257674,5.13,2482043373,5001000,3.72,0.19,,10/7/24 11:30,76276770,2606069565,2.93,,10/7/24 11:30
United Breweries Limited,264405149,187281771,70.83,77123378,23229954,12.4,8.79,,10/7/24 11:30,24423622,263524585,9.27,,10/7/24 11:30
United Drilling Tools Limited,20303126,15155460,74.65,5147666,0,0,0,,10/7/24 11:30,334340,19426563,1.72,,10/7/24 11:30
United Spirits Limited,727350853,412221410,56.67,315129443,4883705,1.18,0.67,,10/7/24 11:30,36122192,724314298,4.99,,10/7/24 11:30
Unity Infraprojects Limited,120876802,72885284,60.3,47991518,72863784,99.97,60.28,,10/7/24 11:30,74022942,120865546,61.24,,10/7/24 11:30
Univa Foods Limited,14322800,0,0,14322800,0,,0,,10/7/24 11:30,356485,13397600,2.66,,10/7/24 11:30
Universal Cables Limited,34695381,21472949,61.89,13222432,0,0,0,,10/7/24 11:30,626309,34348916,1.82,,10/7/24 11:30
